date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,111000.0,174705.09,1448.99,63705.09,57.39%,17.55%,120.57
2025-12-31,111000.0,176241.02,1448.99,65241.02,58.78%,17.89%,121.63
2026-01-01,111000.0,176458.37,1448.99,65458.37,58.97%,17.92%,121.78
2026-01-02,111000.0,178095.73,1448.99,67095.73,60.45%,18.29%,122.91
2026-01-05,111000.0,178704.31,1448.99,67704.31,60.99%,18.37%,123.33
2026-01-06,111000.0,177704.5,1448.99,66704.5,60.09%,18.12%,122.64
2026-01-07,111000.0,177472.66,1448.99,66472.66,59.89%,18.05%,122.48
2026-01-08,111000.0,174719.58,1448.99,63719.58,57.41%,17.39%,120.58
2026-01-09,111000.0,172618.54,1448.99,61618.54,55.51%,16.87%,119.13
2026-01-12,111000.0,171502.81,1448.99,60502.81,54.51%,16.56%,118.36
2026-01-13,111000.0,172618.54,1448.99,61618.54,55.51%,16.8%,119.13
2026-01-14,111000.0,173212.62,1448.99,62212.62,56.05%,16.93%,119.54
2026-01-16,111000.0,172806.91,1448.99,61806.91,55.68%,16.8%,119.26
2026-01-19,111000.0,171270.97,1448.99,60270.97,54.3%,16.38%,118.2
2026-01-20,111000.0,167590.53,1448.99,56590.53,50.98%,15.5%,115.66
2026-01-21,111000.0,166300.93,1448.99,55300.93,49.82%,15.17%,114.77
2026-01-22,111000.0,168068.7,1448.99,57068.7,51.41%,15.58%,115.99
2026-01-23,111000.0,165170.71,1448.99,54170.71,48.8%,14.87%,113.99
2026-01-27,111000.0,165532.96,1448.99,54532.96,49.13%,14.9%,114.24
2026-01-28,111000.0,167822.37,1448.99,56822.37,51.19%,15.42%,115.82
2026-01-29,111000.0,167126.85,1448.99,56126.85,50.56%,15.24%,115.34
2026-01-30,111000.0,169169.93,1448.99,58169.93,52.41%,15.71%,116.75
2026-01-31,111000.0,169169.93,1448.99,58169.93,52.41%,15.69%,116.75
2026-02-02,111000.0,167010.93,1448.99,56010.93,50.46%,15.16%,115.26
2026-02-03,111000.0,171937.51,1448.99,60937.51,54.9%,16.29%,118.66
2026-02-04,111000.0,172922.82,1448.99,61922.82,55.79%,16.5%,119.34
2026-02-05,111000.0,171763.63,1448.99,60763.63,54.74%,16.22%,118.54
2026-02-06,111000.0,170923.21,1448.99,59923.21,53.98%,16.01%,117.96
2026-02-09,111000.0,174647.13,1448.99,63647.13,57.34%,16.81%,120.53
2026-02-10,111000.0,175936.73,1448.99,64936.73,58.5%,17.09%,121.42
2026-02-11,111000.0,176501.84,1448.99,65501.84,59.01%,17.2%,121.81
2026-02-12,111000.0,175270.19,1448.99,64270.19,57.9%,16.9%,120.96
2026-02-13,111000.0,172676.5,1448.99,61676.5,55.56%,16.3%,119.17
2026-02-16,111000.0,172966.29,1448.99,61966.29,55.83%,16.31%,119.37
2026-02-17,111000.0,173995.08,1448.99,62995.08,56.75%,16.53%,120.08
2026-02-18,111000.0,174690.6,1448.99,63690.6,57.38%,16.67%,120.56
2026-02-19,111000.0,173038.74,1448.99,62038.74,55.89%,16.28%,119.42
2026-02-20,111000.0,173328.54,1448.99,62328.54,56.15%,16.33%,119.62
2026-02-23,111000.0,174183.45,1448.99,63183.45,56.92%,16.47%,120.21
2026-02-24,111000.0,173140.17,1448.99,62140.17,55.98%,16.22%,119.49
2026-02-25,111000.0,173415.48,1448.99,62415.48,56.23%,16.27%,119.68
2026-02-26,111000.0,173777.73,1448.99,62777.73,56.56%,16.33%,119.93
2026-02-27,111000.0,171734.65,1448.99,60734.65,54.72%,15.86%,118.52
2026-02-28,111000.0,171734.65,1448.99,60734.65,54.72%,15.84%,118.52
2026-03-02,111000.0,168851.15,1448.99,57851.15,52.12%,15.16%,116.53
2026-03-04,111000.0,165735.82,1448.99,54735.82,49.31%,14.42%,114.38
2026-03-05,111000.0,167880.33,1448.99,56880.33,51.24%,14.9%,115.86
2026-03-06,111000.0,166981.95,1448.99,55981.95,50.43%,14.68%,115.24
2026-03-09,111000.0,164141.93,1448.99,53141.93,47.88%,13.98%,113.28
2026-03-10,111000.0,166851.54,1448.99,55851.54,50.32%,14.59%,115.15
2026-03-11,111000.0,166199.5,1448.99,55199.5,49.73%,14.43%,114.7
2026-03-12,111000.0,165228.67,1448.99,54228.67,48.85%,14.19%,114.03
2026-03-13,111000.0,160939.65,1448.99,49939.65,44.99%,13.19%,111.07
2026-03-16,111000.0,161272.92,1448.99,50272.92,45.29%,13.23%,111.3
2026-03-17,111000.0,162069.87,1448.99,51069.87,46.01%,13.4%,111.85
2026-03-18,111000.0,164866.42,1448.99,53866.42,48.53%,14.03%,113.78
2026-03-19,111000.0,160968.63,1448.99,49968.63,45.02%,13.12%,111.09
2026-03-20,111000.0,161084.55,1448.99,50084.55,45.12%,13.13%,111.17
2026-03-25,111000.0,162707.42,1448.99,51707.42,46.58%,13.44%,112.29
2026-03-27,111000.0,159939.85,1448.99,48939.85,44.09%,12.78%,110.38
2026-03-30,111000.0,156752.06,1448.99,45752.06,41.22%,12.01%,108.18
2026-03-31,111000.0,156752.06,1448.99,45752.06,41.22%,12.0%,108.18
2026-04-01,111000.0,160215.16,1448.99,49215.16,44.34%,12.79%,110.57
2026-04-02,111000.0,160186.18,1448.99,49186.18,44.31%,12.77%,110.55
2026-04-06,111000.0,161620.68,1448.99,50620.68,45.6%,13.05%,111.54
2026-04-07,111000.0,162258.24,1448.99,51258.24,46.18%,13.18%,111.98
2026-04-08,111000.0,167634.0,1448.99,56634.0,51.02%,14.36%,115.69
