date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,60000.0,58633.74,1164.13,-1366.26,-2.28%,-17.42%,50.367
2025-12-31,60000.0,59232.1,1164.13,-767.9,-1.28%,-9.93%,50.881
2026-01-01,60000.0,59487.04,1164.13,-512.96,-0.85%,-6.59%,51.1
2026-01-02,90000.0,90136.28,1744.83,136.28,0.15%,1.78%,51.659
2026-01-05,90000.0,90455.58,1744.83,455.58,0.51%,5.51%,51.842
2026-01-06,90000.0,90315.99,1744.83,315.99,0.35%,3.68%,51.762
2026-01-07,90000.0,90664.96,1744.83,664.96,0.74%,7.66%,51.962
2026-01-08,90000.0,89110.32,1744.83,-889.68,-0.99%,-9.28%,51.071
2026-01-09,90000.0,87922.08,1744.83,-2077.92,-2.31%,-20.04%,50.39
2026-01-12,90000.0,87440.51,1744.83,-2559.49,-2.84%,-22.61%,50.114
2026-01-13,90000.0,87578.35,1744.83,-2421.65,-2.69%,-21.06%,50.193
2026-01-14,90000.0,87883.7,1744.83,-2116.3,-2.35%,-18.24%,50.368
2026-01-16,90000.0,87683.04,1744.83,-2316.96,-2.57%,-19.02%,50.253
2026-01-19,90000.0,87093.29,1744.83,-2906.71,-3.23%,-22.05%,49.915
2026-01-20,90000.0,84683.68,1744.83,-5316.32,-5.91%,-36.52%,48.534
2026-01-21,90000.0,83959.57,1744.83,-6040.43,-6.71%,-39.88%,48.119
2026-01-22,90000.0,84859.9,1744.83,-5140.1,-5.71%,-34.39%,48.635
2026-01-23,90000.0,83249.42,1744.83,-6750.58,-7.5%,-42.27%,47.712
2026-01-27,90000.0,83450.08,1744.83,-6549.92,-7.28%,-38.97%,47.827
2026-01-28,90000.0,84894.8,1744.83,-5105.2,-5.67%,-31.21%,48.655
2026-01-29,90000.0,84662.74,1744.83,-5337.26,-5.93%,-31.95%,48.522
2026-01-30,90000.0,85243.77,1744.83,-4756.23,-5.28%,-28.53%,48.855
2026-01-31,90000.0,85243.77,1744.83,-4756.23,-5.28%,-28.12%,48.855
2026-02-02,120000.0,114247.72,2366.11,-5752.28,-4.79%,-32.23%,48.285
2026-02-03,120000.0,118412.08,2366.11,-1587.92,-1.32%,-9.72%,50.045
2026-02-04,120000.0,119457.9,2366.11,-542.1,-0.45%,-3.34%,50.487
2026-02-05,120000.0,118819.05,2366.11,-1180.95,-0.98%,-7.02%,50.217
2026-02-06,120000.0,118341.09,2366.11,-1658.91,-1.38%,-9.56%,50.015
2026-02-09,120000.0,121220.65,2366.11,1220.65,1.02%,7.1%,51.232
2026-02-10,120000.0,121452.53,2366.11,1452.53,1.21%,8.33%,51.33
2026-02-11,120000.0,121447.8,2366.11,1447.8,1.21%,8.15%,51.328
2026-02-12,120000.0,120659.88,2366.11,659.88,0.55%,3.59%,50.995
2026-02-13,120000.0,119150.3,2366.11,-849.7,-0.71%,-4.4%,50.357
2026-02-16,120000.0,118757.53,2366.11,-1242.47,-1.04%,-6.07%,50.191
2026-02-17,120000.0,119592.76,2366.11,-407.24,-0.34%,-1.99%,50.544
2026-02-18,120000.0,119916.92,2366.11,-83.08,-0.07%,-0.4%,50.681
2026-02-19,120000.0,118350.56,2366.11,-1649.44,-1.37%,-7.63%,50.019
2026-02-20,120000.0,118272.47,2366.11,-1727.53,-1.44%,-7.87%,49.986
2026-02-23,120000.0,118440.47,2366.11,-1559.53,-1.3%,-6.82%,50.057
2026-02-24,120000.0,117096.52,2366.11,-2903.48,-2.42%,-12.23%,49.489
2026-02-25,120000.0,117392.28,2366.11,-2607.72,-2.17%,-10.89%,49.614
2026-02-26,120000.0,117510.59,2366.11,-2489.41,-2.07%,-10.28%,49.664
2026-02-27,120000.0,116398.51,2366.11,-3601.49,-3.0%,-14.41%,49.194
2026-02-28,120000.0,116398.51,2366.11,-3601.49,-3.0%,-14.22%,49.194
2026-03-02,120000.0,113871.51,2366.11,-6128.49,-5.11%,-22.7%,48.126
2026-03-04,120000.0,111595.31,2366.11,-8404.69,-7.0%,-29.39%,47.164
2026-03-05,140000.0,133217.46,2784.06,-6782.54,-4.84%,-24.03%,47.85
2026-03-06,140000.0,132312.64,2784.06,-7687.36,-5.49%,-26.53%,47.525
2026-03-09,140000.0,129394.94,2784.06,-10605.06,-7.58%,-33.83%,46.477
2026-03-10,140000.0,132092.7,2784.06,-7907.3,-5.65%,-25.87%,47.446
2026-03-11,140000.0,132084.35,2784.06,-7915.65,-5.65%,-25.58%,47.443
2026-03-12,140000.0,132151.17,2784.06,-7848.83,-5.61%,-25.08%,47.467
2026-03-13,140000.0,129375.45,2784.06,-10624.55,-7.59%,-32.36%,46.47
2026-03-16,140000.0,128389.9,2784.06,-11610.1,-8.29%,-33.8%,46.116
2026-03-17,140000.0,129433.92,2784.06,-10566.08,-7.55%,-30.82%,46.491
2026-03-18,140000.0,131939.58,2784.06,-8060.42,-5.76%,-23.98%,47.391
2026-03-19,140000.0,129019.09,2784.06,-10980.91,-7.84%,-31.2%,46.342
2026-03-20,140000.0,129397.73,2784.06,-10602.27,-7.57%,-29.95%,46.478
2026-03-25,140000.0,129999.08,2784.06,-10000.92,-7.14%,-27.03%,46.694
2026-03-27,140000.0,127813.59,2784.06,-12186.41,-8.7%,-31.55%,45.909
2026-03-30,140000.0,124255.56,2784.06,-15744.44,-11.25%,-38.21%,44.631
2026-03-31,140000.0,124258.34,2784.06,-15741.66,-11.24%,-37.88%,44.632
2026-04-01,140000.0,128760.18,2784.06,-11239.82,-8.03%,-28.04%,46.249
2026-04-02,140000.0,129188.92,2784.06,-10811.08,-7.72%,-26.84%,46.403
2026-04-06,140000.0,130892.77,2784.06,-9107.23,-6.51%,-22.16%,47.015
