date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,650000.0,737368.29,40824.97,87368.29,13.44%,7.4%,18.0617
2025-12-31,650000.0,744410.6,40824.97,94410.6,14.52%,7.97%,18.2342
2026-01-01,650000.0,748827.86,40824.97,98827.86,15.2%,8.32%,18.3424
2026-01-02,650000.0,754216.75,40824.97,104216.75,16.03%,8.74%,18.4744
2026-01-05,650000.0,754204.5,40824.97,104204.5,16.03%,8.7%,18.4741
2026-01-06,650000.0,752808.29,40824.97,102808.29,15.82%,8.57%,18.4399
2026-01-07,650000.0,754673.99,40824.97,104673.99,16.1%,8.71%,18.4856
2026-01-08,650000.0,740548.55,40824.97,90548.55,13.93%,7.56%,18.1396
2026-01-09,650000.0,734024.72,40824.97,84024.72,12.93%,7.02%,17.9798
2026-01-12,650000.0,731758.94,40824.97,81758.94,12.58%,6.8%,17.9243
2026-01-13,650000.0,730089.2,40824.97,80089.2,12.32%,6.65%,17.8834
2026-01-14,650000.0,733371.52,40824.97,83371.52,12.83%,6.91%,17.9638
2026-01-16,650000.0,737425.44,40824.97,87425.44,13.45%,7.21%,18.0631
2026-01-19,650000.0,737956.17,40824.97,87956.17,13.53%,7.22%,18.0761
2026-01-20,650000.0,720491.25,40824.97,70491.25,10.84%,5.81%,17.6483
2026-01-21,650000.0,711766.95,40824.97,61766.95,9.5%,5.1%,17.4346
2026-01-22,650000.0,722144.66,40824.97,72144.66,11.1%,5.93%,17.6888
2026-01-23,650000.0,709084.75,40824.97,59084.75,9.09%,4.87%,17.3689
2026-01-27,650000.0,714583.87,40824.97,64583.87,9.94%,5.28%,17.5036
2026-01-28,650000.0,725316.76,40824.97,75316.76,11.59%,6.12%,17.7665
2026-01-29,650000.0,730619.92,40824.97,80619.92,12.4%,6.53%,17.8964
2026-01-30,650000.0,727439.66,40824.97,77439.66,11.91%,6.27%,17.8185
2026-02-02,650000.0,717319.15,40824.97,67319.15,10.36%,5.45%,17.5706
2026-02-03,650000.0,738041.9,40824.97,88041.9,13.54%,7.06%,18.0782
2026-02-04,650000.0,743116.44,40824.97,93116.44,14.33%,7.44%,18.2025
2026-02-05,650000.0,742250.95,40824.97,92250.95,14.19%,7.37%,18.1813
2026-02-06,650000.0,745198.52,40824.97,95198.52,14.65%,7.58%,18.2535
2026-02-09,650000.0,757658.3,40824.97,107658.3,16.56%,8.5%,18.5587
2026-02-10,650000.0,760401.73,40824.97,110401.73,16.98%,8.7%,18.6259
2026-02-11,650000.0,761075.35,40824.97,111075.35,17.09%,8.73%,18.6424
2026-02-12,650000.0,761471.35,40824.97,111471.35,17.15%,8.75%,18.6521
2026-02-13,650000.0,744051.34,40824.97,94051.34,14.47%,7.42%,18.2254
2026-02-16,650000.0,747856.22,40824.97,97856.22,15.05%,7.67%,18.3186
2026-02-17,650000.0,750979.33,40824.97,100979.33,15.54%,7.9%,18.3951
2026-02-18,650000.0,757025.51,40824.97,107025.51,16.47%,8.34%,18.5432
2026-02-19,650000.0,743683.91,40824.97,93683.91,14.41%,7.32%,18.2164
2026-02-20,650000.0,748391.03,40824.97,98391.03,15.14%,7.67%,18.3317
2026-02-23,650000.0,745443.47,40824.97,95443.47,14.68%,7.41%,18.2595
2026-02-24,650000.0,743667.58,40824.97,93667.58,14.41%,7.27%,18.216
2026-02-25,650000.0,750264.9,40824.97,100264.9,15.43%,7.75%,18.3776
2026-02-26,650000.0,753890.15,40824.97,103890.15,15.98%,8.01%,18.4664
2026-02-27,650000.0,742422.42,40824.97,92422.42,14.22%,7.14%,18.1855
2026-03-02,650000.0,731338.44,40824.97,81338.44,12.51%,6.28%,17.914
2026-03-04,650000.0,714200.12,40824.97,64200.12,9.88%,4.97%,17.4942
2026-03-05,650000.0,727100.81,40824.97,77100.81,11.86%,5.94%,17.8102
2026-03-06,650000.0,720144.24,40824.97,70144.24,10.79%,5.41%,17.6398
2026-03-09,650000.0,705349.27,40824.97,55349.27,8.52%,4.27%,17.2774
2026-03-10,650000.0,717784.55,40824.97,67784.55,10.43%,5.2%,17.582
2026-03-11,650000.0,705324.77,40824.97,55324.77,8.51%,4.26%,17.2768
2026-03-12,650000.0,702103.68,40824.97,52103.68,8.02%,4.01%,17.1979
2026-03-13,650000.0,682348.48,40824.97,32348.48,4.98%,2.5%,16.714
2026-03-16,650000.0,681956.56,40824.97,31956.56,4.92%,2.46%,16.7044
2026-03-17,650000.0,690697.19,40824.97,40697.19,6.26%,3.12%,16.9185
2026-03-18,650000.0,703753.01,40824.97,53753.01,8.27%,4.1%,17.2383
2026-03-19,650000.0,680143.93,40824.97,30143.93,4.64%,2.31%,16.66
2026-03-20,650000.0,684001.89,40824.97,34001.89,5.23%,2.6%,16.7545
2026-03-25,650000.0,691860.7,40824.97,41860.7,6.44%,3.17%,16.947
2026-03-27,650000.0,675281.68,40824.97,25281.68,3.89%,1.92%,16.5409
2026-03-30,650000.0,655085.57,40824.97,5085.57,0.78%,0.39%,16.0462
2026-03-31,650000.0,655077.4,40824.97,5077.4,0.78%,0.39%,16.046
2026-04-01,650000.0,670978.73,40824.97,20978.73,3.23%,1.59%,16.4355
2026-04-02,650000.0,667602.5,40824.97,17602.5,2.71%,1.33%,16.3528
2026-04-06,650000.0,680111.27,40824.97,30111.27,4.63%,2.26%,16.6592
2026-04-07,650000.0,678841.62,40824.97,28841.62,4.44%,2.16%,16.6281
2026-04-08,650000.0,714494.06,40824.97,64494.06,9.92%,4.76%,17.5014
