date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,180000,555793.14,1390.83,375793.14,208.77%,15.02%,399.6117
2025-12-31,180000,559817.38,1390.83,379817.38,211.01%,15.12%,402.5051
2026-01-01,180000,558639.06,1390.83,378639.06,210.36%,15.09%,401.6579
2026-01-02,180000,561748.55,1390.83,381748.55,212.08%,15.16%,403.8936
2026-01-05,180000,562216.56,1390.83,382216.56,212.34%,15.16%,404.2301
2026-01-06,180000,560874.97,1390.83,380874.97,211.6%,15.12%,403.2655
2026-01-07,180000,563873.18,1390.83,383873.18,213.26%,15.19%,405.4212
2026-01-08,180000,554453.91,1390.83,374453.91,208.03%,14.94%,398.6488
2026-01-09,180000,550687.67,1390.83,370687.67,205.94%,14.84%,395.9409
2026-01-12,180000,546476.78,1390.83,366476.78,203.6%,14.71%,392.9133
2026-01-13,180000,547354.12,1390.83,367354.12,204.09%,14.73%,393.5441
2026-01-14,180000,548759.7,1390.83,368759.7,204.87%,14.76%,394.5547
2026-01-16,180000,548155.66,1390.83,368155.66,204.53%,14.74%,394.1204
2026-01-19,180000,546349.24,1390.83,366349.24,203.53%,14.67%,392.8216
2026-01-20,180000,534258.87,1390.83,354258.87,196.81%,14.35%,384.1287
2026-01-21,180000,532936.75,1390.83,352936.75,196.08%,14.31%,383.1781
2026-01-22,180000,538377.96,1390.83,358377.96,199.1%,14.45%,387.0903
2026-01-23,180000,530051.46,1390.83,350051.46,194.47%,14.22%,381.1036
2026-01-27,180000,533063.45,1390.83,353063.45,196.15%,14.28%,383.2692
2026-01-28,180000,543386.91,1390.83,363386.91,201.88%,14.55%,390.6917
2026-01-29,180000,546217.95,1390.83,366217.95,203.45%,14.62%,392.7272
2026-01-30,180000,547989.87,1390.83,367989.87,204.44%,14.66%,394.0012
2026-02-02,180000,538295.76,1390.83,358295.76,199.05%,14.39%,387.0312
2026-02-03,180000,554139.58,1390.83,374139.58,207.86%,14.79%,398.4228
2026-02-04,180000,555013.99,1390.83,375013.99,208.34%,14.81%,399.0515
2026-02-05,180000,554166.56,1390.83,374166.56,207.87%,14.78%,398.4422
2026-02-06,180000,558312.77,1390.83,378312.77,210.17%,14.88%,401.4233
2026-02-09,180000,566407.84,1390.83,386407.84,214.67%,15.07%,407.2436
2026-02-10,180000,568268.22,1390.83,388268.22,215.7%,15.11%,408.5812
2026-02-11,180000,568122.6,1390.83,388122.6,215.62%,15.1%,408.4765
2026-02-12,180000,569901.61,1390.83,389901.61,216.61%,15.14%,409.7556
2026-02-13,180000,558019.31,1390.83,378019.31,210.01%,14.84%,401.2123
2026-02-16,180000,559428.78,1390.83,379428.78,210.79%,14.86%,402.2257
2026-02-17,180000,560191.93,1390.83,380191.93,211.22%,14.87%,402.7744
2026-02-18,180000,565876.54,1390.83,385876.54,214.38%,15.01%,406.8616
2026-02-19,180000,557485.78,1390.83,377485.78,209.71%,14.79%,400.8287
2026-02-20,180000,560647.7,1390.83,380647.7,211.47%,14.87%,403.1021
2026-02-23,180000,558174.8,1390.83,378174.8,210.1%,14.79%,401.3241
2026-02-24,180000,554725.26,1390.83,374725.26,208.18%,14.7%,398.8439
2026-02-25,180000,560234.07,1390.83,380234.07,211.24%,14.83%,402.8047
2026-02-26,180000,562205.71,1390.83,382205.71,212.34%,14.87%,404.2223
2026-02-27,180000,559043.24,1390.83,379043.24,210.58%,14.79%,401.9485
2026-03-02,180000,553284.22,1390.83,373284.22,207.38%,14.63%,397.8078
2026-03-04,180000,540853.37,1390.83,360853.37,200.47%,14.3%,388.8701
2026-03-05,180000,548664.15,1390.83,368664.15,204.81%,14.5%,394.486
2026-03-06,180000,545168.57,1390.83,365168.57,202.87%,14.4%,391.9727
2026-03-09,180000,534148.16,1390.83,354148.16,196.75%,14.1%,384.0491
2026-03-10,180000,542059.92,1390.83,362059.92,201.14%,14.3%,389.7376
2026-03-11,180000,533288.49,1390.83,353288.49,196.27%,14.07%,383.431
2026-03-12,180000,531369.0,1390.83,351369.0,195.2%,14.02%,382.0509
2026-03-13,180000,517727.85,1390.83,337727.85,187.63%,13.65%,372.243
2026-03-16,180000,518643.16,1390.83,338643.16,188.14%,13.66%,372.9011
2026-03-17,180000,524666.16,1390.83,344666.16,191.48%,13.82%,377.2316
2026-03-18,180000,533890.86,1390.83,353890.86,196.61%,14.05%,383.8641
2026-03-19,180000,521150.97,1390.83,341150.97,189.53%,13.72%,374.7042
2026-03-20,180000,522303.27,1390.83,342303.27,190.17%,13.74%,375.5327
2026-03-25,180000,526728.62,1390.83,346728.62,192.63%,13.83%,378.7145
2026-03-27,180000,518869.86,1390.83,338869.86,188.26%,13.62%,373.0641
2026-03-30,180000,506458.62,1390.83,326458.62,181.37%,13.27%,364.1405
2026-03-31,180000,506435.81,1390.83,326435.81,181.35%,13.27%,364.1241
2026-04-01,180000,517958.87,1390.83,337958.87,187.75%,13.57%,372.4091
2026-04-02,180000,516554.4,1390.83,336554.4,186.97%,13.53%,371.3993
2026-04-06,180000,523981.31,1390.83,343981.31,191.1%,13.7%,376.7392
2026-04-07,180000,524084.23,1390.83,344084.23,191.16%,13.7%,376.8132
2026-04-08,180000,541300.94,1390.83,361300.94,200.72%,14.14%,389.1919
