date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,261500.0,306172.93,8959.73,44672.93,17.08%,12.35%,34.1721
2025-12-31,261500.0,309839.25,8959.73,48339.25,18.49%,13.3%,34.5813
2026-01-01,261500.0,307714.9,8959.73,46214.9,17.67%,12.71%,34.3442
2026-01-02,261500.0,312003.92,8959.73,50503.92,19.31%,13.81%,34.8229
2026-01-05,261500.0,312288.84,8959.73,50788.84,19.42%,13.8%,34.8547
2026-01-06,261500.0,313437.48,8959.73,51937.48,19.86%,14.07%,34.9829
2026-01-07,261500.0,312624.83,8959.73,51124.83,19.55%,13.83%,34.8922
2026-01-08,261500.0,306603.89,8959.73,45103.89,17.25%,12.23%,34.2202
2026-01-09,261500.0,306131.71,8959.73,44631.71,17.07%,12.08%,34.1675
2026-01-12,261500.0,307830.48,8959.73,46330.48,17.72%,12.45%,34.3571
2026-01-13,261500.0,306498.16,8959.73,44998.16,17.21%,12.08%,34.2084
2026-01-14,261500.0,309953.04,8959.73,48453.04,18.53%,12.94%,34.594
2026-01-16,261500.0,308092.1,8959.73,46592.1,17.82%,12.41%,34.3863
2026-01-19,261500.0,308534.71,8959.73,47034.71,17.99%,12.45%,34.4357
2026-01-20,261500.0,303688.39,8959.73,42188.39,16.13%,11.19%,33.8948
2026-01-21,261500.0,302220.79,8959.73,40720.79,15.57%,10.79%,33.731
2026-01-22,261500.0,305575.31,8959.73,44075.31,16.85%,11.62%,34.1054
2026-01-23,261500.0,301828.35,8959.73,40328.35,15.42%,10.65%,33.6872
2026-01-27,261500.0,306278.65,8959.73,44778.65,17.12%,11.69%,34.1839
2026-01-28,261500.0,314313.74,8959.73,52813.74,20.2%,13.67%,35.0807
2026-01-29,261500.0,319838.31,8959.73,58338.31,22.31%,15.0%,35.6973
2026-01-30,261500.0,316008.03,8959.73,54508.03,20.84%,14.03%,35.2698
2026-02-02,261500.0,310626.81,8959.73,49126.81,18.79%,12.62%,34.6692
2026-02-03,261500.0,316839.49,8959.73,55339.49,21.16%,14.12%,35.3626
2025-10-31,261500.0,305800.2,8959.73,44300.2,16.94%,14.02%,34.1305
2026-02-04,261500.0,321358.78,8959.73,59858.78,22.89%,15.19%,35.867
2026-02-05,261500.0,319580.27,8959.73,58080.27,22.21%,14.73%,35.6685
2026-02-06,261500.0,321412.54,8959.73,59912.54,22.91%,15.15%,35.873
2026-02-09,261500.0,324679.26,8959.73,63179.26,24.16%,15.84%,36.2376
2026-02-10,261500.0,326010.67,8959.73,64510.67,24.67%,16.12%,36.3862
2026-02-11,261500.0,327553.54,8959.73,66053.54,25.26%,16.46%,36.5584
2026-02-12,261500.0,327682.56,8959.73,66182.56,25.31%,16.45%,36.5728
2026-02-13,261500.0,322897.17,8959.73,61397.17,23.48%,15.29%,36.0387
2026-02-16,261500.0,327316.11,8959.73,65816.11,25.17%,16.24%,36.5319
2026-02-17,261500.0,329169.88,8959.73,67669.88,25.88%,16.64%,36.7388
2026-02-18,261500.0,331888.26,8959.73,70388.26,26.92%,17.24%,37.0422
2026-02-19,261500.0,327443.33,8959.73,65943.33,25.22%,16.18%,36.5461
2026-02-20,261500.0,331333.65,8959.73,69833.65,26.71%,17.04%,36.9803
2026-02-23,261500.0,333212.51,8959.73,71712.51,27.42%,17.38%,37.19
2026-02-24,261500.0,332823.66,8959.73,71323.66,27.27%,17.25%,37.1466
2026-02-25,261500.0,334968.62,8959.73,73468.62,28.1%,17.71%,37.386
2026-02-26,261500.0,335258.01,8959.73,73758.01,28.21%,17.74%,37.4183
2026-02-27,261500.0,333060.19,8959.73,71560.19,27.37%,17.21%,37.173
2026-03-02,261500.0,328695.91,8959.73,67195.91,25.7%,16.12%,36.6859
2026-03-04,261500.0,321171.52,8959.73,59671.52,22.82%,14.35%,35.8461
2026-03-05,261500.0,328720.99,8959.73,67220.99,25.71%,16.04%,36.6887
2026-03-06,261500.0,325841.33,8959.73,64341.33,24.6%,15.36%,36.3673
2026-03-09,261500.0,317793.7,8959.73,56293.7,21.53%,13.45%,35.4691
2026-03-10,261500.0,320533.59,8959.73,59033.59,22.57%,14.05%,35.7749
2026-03-11,261500.0,318936.96,8959.73,57436.96,21.96%,13.66%,35.5967
2026-03-12,261500.0,319850.86,8959.73,58350.86,22.31%,13.84%,35.6987
2026-03-13,261500.0,309854.48,8959.73,48354.48,18.49%,11.54%,34.583
2026-03-16,261500.0,307969.35,8959.73,46469.35,17.77%,11.05%,34.3726
2026-03-17,261500.0,311393.76,8959.73,49893.76,19.08%,11.81%,34.7548
2026-03-18,261500.0,312855.99,8959.73,51355.99,19.64%,12.12%,34.918
2026-03-19,261500.0,306556.4,8959.73,45056.4,17.23%,10.67%,34.2149
2026-03-20,261500.0,306237.44,8959.73,44737.44,17.11%,10.58%,34.1793
2026-03-25,261500.0,305195.42,8959.73,43695.42,16.71%,10.25%,34.063
2026-03-27,261500.0,302186.74,8959.73,40686.74,15.56%,9.53%,33.7272
2026-03-30,261500.0,298490.85,8959.73,36990.85,14.15%,8.65%,33.3147
2026-03-31,261500.0,298489.95,8959.73,36989.95,14.15%,8.63%,33.3146
2026-04-01,261500.0,305500.05,8959.73,44000.05,16.83%,10.19%,34.097
2026-04-02,261500.0,303355.09,8959.73,41855.09,16.01%,9.69%,33.8576
2026-04-06,261500.0,308012.36,8959.73,46512.36,17.79%,10.65%,34.3774
2026-04-07,261500.0,309316.9,8959.73,47816.9,18.29%,10.92%,34.523
2026-04-08,261500.0,317497.13,8959.73,55997.13,21.41%,12.67%,35.436
