date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,240000.0,361998.66,1551.44,121998.66,50.83%,16.23%,233.33
2025-12-31,240000.0,362107.26,1551.44,122107.26,50.88%,16.22%,233.4
2026-01-01,240000.0,363969.0,1551.44,123969.0,51.65%,16.42%,234.6
2026-01-02,240000.0,364310.31,1551.44,124310.31,51.8%,16.44%,234.82
2026-01-05,240000.0,361672.86,1551.44,121672.86,50.7%,16.08%,233.12
2026-01-06,240000.0,362045.21,1551.44,122045.21,50.85%,16.11%,233.36
2026-01-07,240000.0,366358.22,1551.44,126358.22,52.65%,16.59%,236.14
2026-01-08,240000.0,361098.82,1551.44,121098.82,50.46%,15.97%,232.75
2026-01-09,240000.0,359144.0,1551.44,119144.0,49.64%,15.72%,231.49
2026-01-12,240000.0,358399.31,1551.44,118399.31,49.33%,15.59%,231.01
2026-01-13,240000.0,359780.1,1551.44,119780.1,49.91%,15.73%,231.9
2026-01-14,240000.0,357794.25,1551.44,117794.25,49.08%,15.49%,230.62
2026-01-16,240000.0,365566.99,1551.44,125566.99,52.32%,16.34%,235.63
2026-01-19,240000.0,363100.19,1551.44,123100.19,51.29%,16.01%,234.04
2026-01-20,240000.0,355699.8,1551.44,115699.8,48.21%,15.15%,229.27
2026-01-21,240000.0,355249.88,1551.44,115249.88,48.02%,15.08%,228.98
2026-01-22,240000.0,357406.38,1551.44,117406.38,48.92%,15.31%,230.37
2026-01-23,240000.0,354008.72,1551.44,114008.72,47.5%,14.91%,228.18
2026-01-27,240000.0,355249.88,1551.44,115249.88,48.02%,14.99%,228.98
2026-01-28,240000.0,356940.95,1551.44,116940.95,48.73%,15.16%,230.07
2026-01-29,240000.0,355373.99,1551.44,115373.99,48.07%,14.97%,229.06
2026-01-30,240000.0,353434.69,1551.44,113434.69,47.26%,14.73%,227.81
2026-02-02,240000.0,352596.91,1551.44,112596.91,46.92%,14.59%,227.27
2026-02-03,240000.0,356940.95,1551.44,116940.95,48.73%,15.07%,230.07
2026-02-04,240000.0,346530.76,1551.44,106530.76,44.39%,13.87%,223.36
2026-02-05,240000.0,343055.52,1551.44,103055.52,42.94%,13.45%,221.12
2026-02-06,240000.0,339766.46,1551.44,99766.46,41.57%,13.05%,219.0
2026-02-09,240000.0,341100.7,1551.44,101100.7,42.13%,13.17%,219.86
2026-02-10,240000.0,342884.86,1551.44,102884.86,42.87%,13.36%,221.01
2026-02-11,240000.0,338323.61,1551.44,98323.61,40.97%,12.82%,218.07
2026-02-12,240000.0,325834.48,1551.44,85834.48,35.76%,11.34%,210.02
2026-02-13,240000.0,321676.61,1551.44,81676.61,34.03%,10.83%,207.34
2026-02-16,240000.0,320590.59,1551.44,80590.59,33.58%,10.66%,206.64
2026-02-17,240000.0,322235.13,1551.44,82235.13,34.26%,10.85%,207.7
2026-02-18,240000.0,320187.22,1551.44,80187.22,33.41%,10.59%,206.38
2026-02-19,240000.0,316494.78,1551.44,76494.78,31.87%,10.14%,204.0
2026-02-20,240000.0,314183.13,1551.44,74183.13,30.91%,9.85%,202.51
2026-02-23,240000.0,309714.97,1551.44,69714.97,29.05%,9.28%,199.63
2026-02-24,240000.0,298839.34,1551.44,58839.34,24.52%,7.92%,192.62
2026-02-25,240000.0,300871.73,1551.44,60871.73,25.36%,8.17%,193.93
2026-02-26,240000.0,301150.99,1551.44,61150.99,25.48%,8.2%,194.11
2026-02-27,240000.0,300189.09,1551.44,60189.09,25.08%,8.07%,193.49
2026-03-02,240000.0,296201.88,1551.44,56201.88,23.42%,7.55%,190.92
2026-03-04,240000.0,296775.91,1551.44,56775.91,23.66%,7.61%,191.29
2026-03-05,240000.0,295891.59,1551.44,55891.59,23.29%,7.49%,190.72
2026-03-06,240000.0,295084.84,1551.44,55084.84,22.95%,7.38%,190.2
2026-03-09,240000.0,292633.56,1551.44,52633.56,21.93%,7.05%,188.62
2026-03-10,240000.0,292587.01,1551.44,52587.01,21.91%,7.04%,188.59
2026-03-11,240000.0,289391.04,1551.44,49391.04,20.58%,6.63%,186.53
2026-03-12,240000.0,288041.28,1551.44,48041.28,20.02%,6.46%,185.66
2026-03-13,240000.0,283386.94,1551.44,43386.94,18.08%,5.86%,182.66
2026-03-16,240000.0,282456.08,1551.44,42456.08,17.69%,5.72%,182.06
2026-03-17,240000.0,282719.82,1551.44,42719.82,17.8%,5.75%,182.23
2026-03-18,240000.0,289654.78,1551.44,49654.78,20.69%,6.62%,186.7
2026-03-19,240000.0,281742.41,1551.44,41742.41,17.39%,5.62%,181.6
2026-03-20,240000.0,286226.09,1551.44,46226.09,19.26%,6.18%,184.49
2026-03-24,240000.0,285326.25,1551.44,45326.25,18.89%,6.04%,183.91
2026-03-25,240000.0,287870.62,1551.44,47870.62,19.95%,6.35%,185.55
