date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,216100.0,302763.29,1930.04,86663.29,40.1%,19.01%,156.869
2025-12-31,216100.0,306555.81,1930.04,90455.81,41.86%,19.72%,158.834
2026-01-01,216100.0,307354.85,1930.04,91254.85,42.23%,19.84%,159.248
2026-01-02,216100.0,309441.22,1930.04,93341.22,43.19%,20.21%,160.329
2026-01-05,216100.0,309771.26,1930.04,93671.26,43.35%,20.18%,160.5
2026-01-06,216100.0,309306.12,1930.04,93206.12,43.13%,20.06%,160.259
2026-01-07,216100.0,311471.62,1930.04,95371.62,44.13%,20.44%,161.381
2026-01-08,216100.0,306216.13,1930.04,90116.13,41.7%,19.42%,158.658
2026-01-09,216100.0,303361.6,1930.04,87261.6,40.38%,18.85%,157.179
2026-01-12,216100.0,301439.28,1930.04,85339.28,39.49%,18.41%,156.183
2026-01-13,216100.0,301497.18,1930.04,85397.18,39.52%,18.39%,156.213
2026-01-14,216100.0,301508.76,1930.04,85408.76,39.52%,18.37%,156.219
2026-01-16,216100.0,301317.69,1930.04,85217.69,39.43%,18.28%,156.12
2026-01-19,216100.0,299157.98,1930.04,83057.98,38.43%,17.79%,155.001
2026-01-20,216100.0,292350.73,1930.04,76250.73,35.28%,16.46%,151.474
2026-01-21,216100.0,289536.73,1930.04,73436.73,33.98%,15.89%,150.016
2026-01-22,216100.0,292215.62,1930.04,76115.62,35.22%,16.39%,151.404
2026-01-23,216100.0,288347.83,1930.04,72247.83,33.43%,15.62%,149.4
2026-01-27,216100.0,289160.37,1930.04,73060.37,33.81%,15.69%,149.821
2026-01-28,216100.0,293975.82,1930.04,77875.82,36.04%,16.59%,152.316
2026-01-29,216100.0,295128.05,1930.04,79028.05,36.57%,16.78%,152.913
2026-01-30,216100.0,296467.5,1930.04,80367.5,37.19%,17.01%,153.607
2026-02-02,216100.0,294273.05,1930.04,78173.05,36.17%,16.53%,152.47
2026-02-03,216100.0,303602.85,1930.04,87502.85,40.49%,18.24%,157.304
2026-02-04,216100.0,304785.97,1930.04,88685.97,41.04%,18.43%,157.917
2026-02-05,216100.0,303784.28,1930.04,87684.28,40.58%,18.22%,157.398
2026-02-06,216100.0,303687.78,1930.04,87587.78,40.53%,18.18%,157.348
2026-02-09,216100.0,309661.25,1930.04,93561.25,43.3%,19.18%,160.443
2026-02-10,216100.0,310512.39,1930.04,94412.39,43.69%,19.31%,160.884
2026-02-11,216100.0,311087.55,1930.04,94987.55,43.96%,19.38%,161.182
2026-02-12,216100.0,309574.4,1930.04,93474.4,43.26%,19.08%,160.398
2026-02-13,216100.0,305957.5,1930.04,89857.5,41.58%,18.41%,158.524
2026-02-16,216100.0,306978.49,1930.04,90878.49,42.05%,18.52%,159.053
2026-02-17,216100.0,308431.81,1930.04,92331.81,42.73%,18.75%,159.806
2026-02-18,216100.0,310412.03,1930.04,94312.03,43.64%,19.08%,160.832
2026-02-19,216100.0,304977.04,1930.04,88877.04,41.13%,18.08%,158.016
2026-02-20,216100.0,306123.49,1930.04,90023.49,41.66%,18.26%,158.61
2026-02-23,216100.0,307661.73,1930.04,91561.73,42.37%,18.46%,159.407
2026-02-24,216100.0,306588.63,1930.04,90488.63,41.87%,18.24%,158.851
2026-02-25,216100.0,308979.94,1930.04,92879.94,42.98%,18.64%,160.09
2026-02-26,216100.0,311089.48,1930.04,94989.48,43.96%,18.99%,161.183
2026-02-27,216100.0,307690.68,1930.04,91590.68,42.38%,18.36%,159.422
2026-03-02,216100.0,303429.15,1930.04,87329.15,40.41%,17.54%,157.214
2026-03-04,216100.0,296662.43,1930.04,80562.43,37.28%,16.29%,153.708
2026-03-05,216100.0,300819.74,1930.04,84719.74,39.2%,17.01%,155.862
2026-03-06,216100.0,299053.75,1930.04,82953.75,38.39%,16.67%,154.947
2026-03-09,216100.0,292783.06,1930.04,76683.06,35.48%,15.48%,151.698
2026-03-10,216100.0,296662.43,1930.04,80562.43,37.28%,16.15%,153.708
2026-03-11,216100.0,292900.79,1930.04,76800.79,35.54%,15.46%,151.759
2026-03-12,216100.0,292107.54,1930.04,76007.54,35.17%,15.3%,151.348
2026-03-13,216100.0,283976.29,1930.04,67876.29,31.41%,13.8%,147.135
2026-03-16,216100.0,282472.79,1930.04,66372.79,30.71%,13.47%,146.356
2026-03-17,216100.0,285680.51,1930.04,69580.51,32.2%,14.04%,148.018
2026-03-18,216100.0,291096.2,1930.04,74996.2,34.7%,14.99%,150.824
2026-03-19,216100.0,282565.43,1930.04,66465.43,30.76%,13.43%,146.404
2026-03-20,216100.0,283262.17,1930.04,67162.17,31.08%,13.54%,146.765
2026-03-25,216100.0,286487.27,1930.04,70387.27,32.57%,14.03%,148.436
2026-03-27,216100.0,281206.68,1930.04,65106.68,30.13%,13.04%,145.7
2026-03-30,216100.0,274439.97,1930.04,58339.97,27.0%,11.76%,142.194
2026-03-31,216100.0,274439.97,1930.04,58339.97,27.0%,11.74%,142.194
2026-04-01,216100.0,279923.21,1930.04,63823.21,29.53%,12.73%,145.035
2026-04-02,216100.0,279201.37,1930.04,63101.37,29.2%,12.58%,144.661
2026-04-06,216100.0,282781.59,1930.04,66681.59,30.86%,13.16%,146.516
2026-04-07,216100.0,283995.59,1930.04,67895.59,31.42%,13.36%,147.145
2026-04-08,216100.0,294012.49,1930.04,77912.49,36.05%,15.09%,152.335
