date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,490000.0,1173002.84,32431.17,683002.84,139.39%,36.19%,36.169
2025-12-31,490000.0,1166840.92,32431.17,676840.92,138.13%,35.93%,35.979
2026-01-02,490000.0,1155360.29,32431.17,665360.29,135.79%,35.44%,35.625
2026-01-05,490000.0,1155327.86,32431.17,665327.86,135.78%,35.33%,35.624
2026-01-06,490000.0,1140798.7,32431.17,650798.7,132.82%,34.76%,35.176
2026-01-07,490000.0,1149684.83,32431.17,659684.83,134.63%,35.06%,35.45
2026-01-08,490000.0,1153965.75,32431.17,663965.75,135.5%,35.18%,35.582
2026-01-09,490000.0,1159738.5,32431.17,669738.5,136.68%,35.35%,35.76
2026-01-12,490000.0,1147122.77,32431.17,657122.77,134.11%,34.79%,35.371
2026-01-13,490000.0,1158570.97,32431.17,668570.97,136.44%,35.17%,35.724
2026-01-14,500000.0,1170776.22,32710.56,670776.22,134.16%,35.22%,35.792
2026-01-16,500000.0,1170710.8,32710.56,670710.8,134.14%,35.14%,35.79
2026-01-20,500000.0,1152491.02,32710.56,652491.02,130.5%,34.35%,35.233
2026-01-21,500000.0,1151705.97,32710.56,651705.97,130.34%,34.29%,35.209
2026-01-22,500000.0,1124752.47,32710.56,624752.47,124.95%,33.26%,34.385
2026-01-23,500000.0,1131752.53,32710.56,631752.53,126.35%,33.49%,34.599
2026-01-27,500000.0,1142677.85,32710.56,642677.85,128.54%,33.75%,34.933
2026-01-28,500000.0,1155271.42,32710.56,655271.42,131.05%,34.18%,35.318
2026-01-29,500000.0,1173883.72,32710.56,673883.72,134.78%,34.81%,35.887
2026-01-30,500000.0,1171986.51,32710.56,671986.51,134.4%,34.71%,35.829
2026-02-02,500000.0,1154486.36,32710.56,654486.36,130.9%,33.98%,35.294
2026-02-03,500000.0,1154486.36,32710.56,654486.36,130.9%,33.95%,35.294
2026-02-04,500000.0,1151836.81,32710.56,651836.81,130.37%,33.82%,35.213
2026-02-05,500000.0,1118995.41,32710.56,618995.41,123.8%,32.59%,34.209
2026-02-06,500000.0,1091878.36,32710.56,591878.36,118.38%,31.55%,33.38
2026-02-09,500000.0,1064761.31,32710.56,564761.31,112.95%,30.43%,32.551
2026-02-10,500000.0,1083242.77,32710.56,583242.77,116.65%,31.1%,33.116
2026-02-11,500000.0,1100775.63,32710.56,600775.63,120.16%,31.73%,33.652
2026-02-12,500000.0,1095967.18,32710.56,595967.18,119.19%,31.52%,33.505
2026-02-13,500000.0,1086448.41,32710.56,586448.41,117.29%,31.13%,33.214
2026-02-17,510000.0,1065929.43,33020.34,555929.43,109.01%,29.85%,32.281
2026-02-18,510000.0,1065929.43,33020.34,555929.43,109.01%,29.82%,32.281
2026-02-19,510000.0,1069792.81,33020.34,559792.81,109.76%,29.94%,32.398
2026-02-20,510000.0,1077915.82,33020.34,567915.82,111.36%,30.22%,32.644
2026-02-23,510000.0,1076429.9,33020.34,566429.9,111.06%,30.08%,32.599
2026-02-24,510000.0,1085477.47,33020.34,575477.47,112.84%,30.39%,32.873
2026-02-25,510000.0,1058037.57,33020.34,548037.57,107.46%,29.32%,32.042
2026-02-26,510000.0,1066523.8,33020.34,556523.8,109.12%,29.61%,32.299
2026-02-27,510000.0,1091156.97,33020.34,581156.97,113.95%,30.51%,33.045
2026-03-02,510000.0,1084222.7,33020.34,574222.7,112.59%,30.17%,32.835
2026-03-04,510000.0,1086864.33,33020.34,576864.33,113.11%,30.21%,32.915
2026-03-05,510000.0,1105256.65,33020.34,595256.65,116.72%,30.86%,33.472
2026-03-06,510000.0,1134578.71,33020.34,624578.71,122.47%,31.89%,34.36
2026-03-09,510000.0,1131342.72,33020.34,621342.72,121.83%,31.68%,34.262
2026-03-10,510000.0,1127479.34,33020.34,617479.34,121.07%,31.51%,34.145
2026-03-11,510000.0,1148315.17,33020.34,638315.17,125.16%,32.22%,34.776
2026-03-12,510000.0,1142272.45,33020.34,632272.45,123.97%,31.98%,34.593
2026-03-13,510000.0,1138276.99,33020.34,628276.99,123.19%,31.8%,34.472
2026-03-16,520000.0,1138304.05,33312.97,618304.05,118.9%,31.36%,34.17
2026-03-17,520000.0,1126178.13,33312.97,606178.13,116.57%,30.9%,33.806
2026-03-18,520000.0,1133473.67,33312.97,613473.67,117.98%,31.13%,34.025
2026-03-19,520000.0,1133240.48,33312.97,613240.48,117.93%,31.09%,34.018
2026-03-20,520000.0,1125745.06,33312.97,605745.06,116.49%,30.79%,33.793
2026-03-24,520000.0,1104724.58,33312.97,584724.58,112.45%,29.91%,33.162
2026-03-25,520000.0,1129209.61,33312.97,609209.61,117.16%,30.77%,33.897
2026-03-27,520000.0,1106690.04,33312.97,586690.04,112.83%,29.9%,33.221
2026-03-30,520000.0,1111353.86,33312.97,591353.86,113.72%,29.98%,33.361
2026-03-31,520000.0,1111353.86,33312.97,591353.86,113.72%,29.95%,33.361
2026-04-01,520000.0,1059352.32,33312.97,539352.32,103.72%,28.01%,31.8
2026-04-02,520000.0,1093231.61,33312.97,573231.61,110.24%,29.24%,32.817
2026-04-06,520000.0,1109355.08,33312.97,589355.08,113.34%,29.71%,33.301
2026-04-07,520000.0,1098095.3,33312.97,578095.3,111.17%,29.28%,32.963
2026-04-08,520000.0,1103192.18,33312.97,583192.18,112.15%,29.43%,33.116
