date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,332500.0,399699.51,2259.91,67199.51,20.21%,13.66%,176.865
2025-12-31,332500.0,403419.33,2259.91,70919.33,21.33%,14.34%,178.511
2026-01-01,332500.0,403699.56,2259.91,71199.56,21.41%,14.37%,178.635
2026-01-02,332500.0,406065.69,2259.91,73565.69,22.13%,14.79%,179.682
2026-01-05,332500.0,405240.82,2259.91,72740.82,21.88%,14.54%,179.317
2026-01-06,332500.0,404393.35,2259.91,71893.35,21.62%,14.36%,178.942
2026-01-07,332500.0,404693.92,2259.91,72193.92,21.71%,14.39%,179.075
2026-01-08,332500.0,398994.42,2259.91,66494.42,20.0%,13.29%,176.553
2026-01-09,332500.0,395498.33,2259.91,62998.33,18.95%,12.61%,175.006
2026-01-12,332500.0,395545.79,2259.91,63045.79,18.96%,12.54%,175.027
2026-01-13,332500.0,395645.23,2259.91,63145.23,18.99%,12.54%,175.071
2026-01-14,332500.0,397290.45,2259.91,64790.45,19.49%,12.82%,175.799
2026-01-16,332500.0,397353.72,2259.91,64853.72,19.5%,12.78%,175.827
2026-01-19,332500.0,395071.21,2259.91,62571.21,18.82%,12.29%,174.817
2026-01-20,332500.0,387674.52,2259.91,55174.52,16.59%,10.89%,171.544
2026-01-21,332500.0,385066.58,2259.91,52566.58,15.81%,10.38%,170.39
2026-01-22,332500.0,387086.94,2259.91,54586.94,16.42%,10.73%,171.284
2026-01-23,332500.0,381972.76,2259.91,49472.76,14.88%,9.75%,169.021
2026-01-27,332500.0,383373.9,2259.91,50873.9,15.3%,9.94%,169.641
2026-01-28,332500.0,387392.03,2259.91,54892.03,16.51%,10.67%,171.419
2026-01-29,332500.0,388973.97,2259.91,56473.97,16.98%,10.94%,172.119
2026-01-30,332500.0,388537.8,2259.91,56037.8,16.85%,10.84%,171.926
2026-02-02,332500.0,386305.01,2259.91,53805.01,16.18%,10.37%,170.938
2026-02-03,332500.0,395362.74,2259.91,62862.74,18.91%,12.0%,174.946
2026-02-04,332500.0,396515.3,2259.91,64015.3,19.25%,12.19%,175.456
2026-02-05,332500.0,394818.1,2259.91,62318.1,18.74%,11.86%,174.705
2026-02-06,332500.0,394639.57,2259.91,62139.57,18.69%,11.8%,174.626
2026-02-09,332500.0,399907.42,2259.91,67407.42,20.27%,12.68%,176.957
2026-02-10,332500.0,401783.15,2259.91,69283.15,20.84%,12.98%,177.787
2026-02-11,332500.0,402795.59,2259.91,70295.59,21.14%,13.14%,178.235
2026-02-12,332500.0,400483.7,2259.91,67983.7,20.45%,12.71%,177.212
2026-02-13,332500.0,395633.93,2259.91,63133.93,18.99%,11.83%,175.066
2026-02-16,332500.0,397771.81,2259.91,65271.81,19.63%,12.14%,176.012
2026-02-17,332500.0,398768.43,2259.91,66268.43,19.93%,12.3%,176.453
2026-02-18,332500.0,400043.02,2259.91,67543.02,20.31%,12.5%,177.017
2026-02-19,332500.0,394553.69,2259.91,62053.69,18.66%,11.51%,174.588
2026-02-20,332500.0,395936.76,2259.91,63436.76,19.08%,11.74%,175.2
2026-02-23,332500.0,397740.17,2259.91,65240.17,19.62%,11.99%,175.998
2026-02-24,332500.0,394842.96,2259.91,62342.96,18.75%,11.46%,174.716
2026-02-25,332500.0,397464.46,2259.91,64964.46,19.54%,11.9%,175.876
2026-02-26,332500.0,398140.17,2259.91,65640.17,19.74%,11.99%,176.175
2026-02-27,332500.0,393355.94,2259.91,60855.94,18.3%,11.14%,174.058
2026-03-02,332500.0,387326.49,2259.91,54826.49,16.49%,10.04%,171.39
2026-03-04,332500.0,379602.11,2259.91,47102.11,14.17%,8.65%,167.972
2026-03-05,332500.0,383733.23,2259.91,51233.23,15.41%,9.36%,169.8
2026-03-06,332500.0,380038.27,2259.91,47538.27,14.3%,8.7%,168.165
2026-03-09,332500.0,372962.48,2259.91,40462.48,12.17%,7.41%,165.034
2026-03-10,332500.0,377419.03,2259.91,44919.03,13.51%,8.18%,167.006
2026-03-11,332500.0,372878.87,2259.91,40378.87,12.14%,7.37%,164.997
2026-03-12,332500.0,370650.59,2259.91,38150.59,11.47%,6.97%,164.011
2026-03-13,332500.0,361895.69,2259.91,29395.69,8.84%,5.4%,160.137
2026-03-16,332500.0,363066.32,2259.91,30566.32,9.19%,5.58%,160.655
2026-03-17,332500.0,365940.93,2259.91,33440.93,10.06%,6.08%,161.927
2026-03-18,332500.0,371498.06,2259.91,38998.06,11.73%,7.05%,164.386
2026-03-19,332500.0,359624.48,2259.91,27124.48,8.16%,4.95%,159.132
2026-03-20,332500.0,361979.3,2259.91,29479.3,8.87%,5.35%,160.174
2026-03-25,332500.0,364354.47,2259.91,31854.47,9.58%,5.72%,161.225
2026-03-27,332500.0,356582.63,2259.91,24082.63,7.24%,4.34%,157.786
