date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,121000.0,116641.26,1037.16,-4358.74,-3.6%,-26.75%,112.4626
2025-12-31,121000.0,117927.75,1037.16,-3072.25,-2.54%,-19.19%,113.703
2026-01-01,121000.0,118144.1,1037.16,-2855.9,-2.36%,-17.59%,113.9116
2026-01-02,131000.0,128883.08,1124.39,-2116.92,-1.62%,-13.05%,114.6253
2026-01-05,131000.0,128715.55,1124.39,-2284.45,-1.74%,-13.15%,114.4763
2026-01-06,131000.0,128161.45,1124.39,-2838.55,-2.17%,-15.79%,113.9835
2026-01-07,131000.0,129222.2,1124.39,-1777.8,-1.36%,-9.96%,114.9269
2026-01-08,131000.0,127946.47,1124.39,-3053.53,-2.33%,-16.26%,113.7923
2026-01-09,131000.0,127323.11,1124.39,-3676.89,-2.81%,-18.94%,113.2379
2026-01-12,131000.0,126737.98,1124.39,-4262.02,-3.25%,-20.55%,112.7175
2026-01-13,131000.0,126364.91,1124.39,-4635.09,-3.54%,-21.8%,112.3857
2026-01-14,131000.0,126029.05,1124.39,-4970.95,-3.79%,-22.84%,112.087
2026-01-16,131000.0,126020.17,1124.39,-4979.83,-3.8%,-22.16%,112.0791
2026-01-19,131000.0,125666.1,1124.39,-5333.9,-4.07%,-22.52%,111.7642
2026-01-20,131000.0,123426.55,1124.39,-7573.45,-5.78%,-30.22%,109.7724
2026-01-21,131000.0,121336.43,1124.39,-9663.57,-7.38%,-36.61%,107.9135
2026-01-22,131000.0,121246.7,1124.39,-9753.3,-7.45%,-36.42%,107.8337
2026-01-23,131000.0,118369.62,1124.39,-12630.38,-9.64%,-44.28%,105.2749
2026-01-27,131000.0,118438.44,1124.39,-12561.56,-9.59%,-42.12%,105.3361
2026-01-28,131000.0,119662.11,1124.39,-11337.89,-8.65%,-38.34%,106.4244
2026-01-29,131000.0,119802.88,1124.39,-11197.12,-8.55%,-37.52%,106.5496
2026-01-30,131000.0,119043.24,1124.39,-11956.76,-9.13%,-39.15%,105.874
2026-02-02,151000.0,138671.75,1313.87,-12328.25,-8.16%,-38.86%,105.5445
2026-02-03,151000.0,143311.68,1313.87,-7688.32,-5.09%,-25.61%,109.076
2026-02-04,151000.0,143474.47,1313.87,-7525.53,-4.98%,-24.8%,109.1999
2026-02-05,151000.0,141966.81,1313.87,-9033.19,-5.98%,-28.76%,108.0524
2026-02-06,151000.0,141462.15,1313.87,-9537.85,-6.32%,-29.77%,107.6683
2026-02-09,151000.0,144457.9,1313.87,-6542.1,-4.33%,-20.48%,109.9484
2026-02-10,151000.0,144802.8,1313.87,-6197.2,-4.1%,-19.24%,110.2109
2026-02-11,151000.0,143821.2,1313.87,-7178.8,-4.75%,-21.74%,109.4638
2026-02-12,151000.0,142795.07,1313.87,-8204.93,-5.43%,-24.23%,108.6828
2026-02-13,151000.0,139825.46,1313.87,-11174.54,-7.4%,-31.44%,106.4226
2026-02-16,171000.0,160927.82,1500.32,-10072.18,-5.89%,-27.78%,107.2624
2026-02-17,171000.0,160930.22,1500.32,-10069.78,-5.89%,-27.43%,107.264
2026-02-18,171000.0,161417.67,1500.32,-9582.33,-5.6%,-25.93%,107.5889
2026-02-19,171000.0,158129.87,1500.32,-12870.13,-7.53%,-33.15%,105.3975
