date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,120000.0,120664.71,1153.65,664.71,0.55%,4.45%,104.5935
2025-12-31,120000.0,121528.34,1153.65,1528.34,1.27%,10.24%,105.3421
2026-01-01,120000.0,121595.25,1153.65,1595.25,1.33%,10.48%,105.4001
2026-01-02,140000.0,142433.1,1342.1,2433.1,1.74%,15.94%,106.1272
2026-01-05,140000.0,141874.39,1342.1,1874.39,1.34%,11.26%,105.7109
2026-01-06,140000.0,141860.56,1342.1,1860.56,1.33%,10.92%,105.7006
2026-01-07,140000.0,141736.02,1342.1,1736.02,1.24%,9.93%,105.6078
2026-01-08,140000.0,140024.71,1342.1,24.71,0.02%,0.13%,104.3327
2026-01-09,140000.0,138860.71,1342.1,-1139.29,-0.81%,-5.86%,103.4654
2026-01-12,140000.0,139070.61,1342.1,-929.39,-0.66%,-4.53%,103.6218
2026-01-13,140000.0,138737.37,1342.1,-1262.63,-0.9%,-6.01%,103.3735
2026-01-14,140000.0,138662.48,1342.1,-1337.52,-0.96%,-6.24%,103.3177
2026-01-16,140000.0,138522.77,1342.1,-1477.23,-1.06%,-6.64%,103.2136
2026-01-19,140000.0,138132.22,1342.1,-1867.78,-1.33%,-7.93%,102.9226
2026-01-20,140000.0,135942.18,1342.1,-4057.82,-2.9%,-16.31%,101.2908
2026-01-21,140000.0,135412.72,1342.1,-4587.28,-3.28%,-18.0%,100.8963
2026-01-22,140000.0,136275.69,1342.1,-3724.31,-2.66%,-14.61%,101.5393
2026-01-23,140000.0,134897.89,1342.1,-5102.11,-3.64%,-19.28%,100.5127
2026-01-27,140000.0,135411.25,1342.1,-4588.75,-3.28%,-16.53%,100.8952
2026-01-28,140000.0,136681.41,1342.1,-3318.59,-2.37%,-12.03%,101.8416
2026-01-29,140000.0,137423.99,1342.1,-2576.01,-1.84%,-9.31%,102.3949
2026-01-30,140000.0,137210.06,1342.1,-2789.94,-1.99%,-9.92%,102.2355
2026-02-02,150000.0,145881.04,1440.86,-4118.96,-2.75%,-13.8%,101.2456
2026-02-03,150000.0,149639.1,1440.86,-360.9,-0.24%,-1.26%,103.8538
2026-02-04,150000.0,149959.83,1440.86,-40.17,-0.03%,-0.14%,104.0764
2026-02-05,150000.0,149502.5,1440.86,-497.5,-0.33%,-1.68%,103.759
2026-02-06,150000.0,149735.06,1440.86,-264.94,-0.18%,-0.88%,103.9204
2026-02-09,150000.0,151146.24,1440.86,1146.24,0.76%,3.74%,104.8998
2026-02-10,150000.0,151805.29,1440.86,1805.29,1.2%,5.86%,105.3572
2026-02-11,150000.0,152072.43,1440.86,2072.43,1.38%,6.66%,105.5426
2026-02-12,150000.0,151279.38,1440.86,1279.38,0.85%,4.02%,104.9922
2026-02-13,150000.0,149582.9,1440.86,-417.1,-0.28%,-1.27%,103.8148
2026-02-16,150000.0,150622.2,1440.86,622.2,0.41%,1.85%,104.5361
2026-02-17,150000.0,150870.46,1440.86,870.46,0.58%,2.56%,104.7084
2026-02-18,150000.0,151659.33,1440.86,1659.33,1.11%,4.86%,105.2559
2026-02-19,150000.0,149261.59,1440.86,-738.41,-0.49%,-2.08%,103.5918
2026-02-20,150000.0,150188.5,1440.86,188.5,0.13%,0.53%,104.2351
2026-02-23,150000.0,151031.69,1440.86,1031.69,0.69%,2.83%,104.8203
2026-02-24,150000.0,149786.93,1440.86,-213.07,-0.14%,-0.57%,103.9564
2026-02-25,150000.0,150518.46,1440.86,518.46,0.35%,1.38%,104.4641
2026-02-26,150000.0,150580.99,1440.86,580.99,0.39%,1.54%,104.5075
2026-02-27,150000.0,148848.64,1440.86,-1151.36,-0.77%,-2.96%,103.3052
2026-03-02,150000.0,146757.8,1440.86,-3242.2,-2.16%,-7.93%,101.8541
2026-03-04,150000.0,144015.7,1440.86,-5984.3,-3.99%,-14.01%,99.951
2026-03-05,180000.0,175730.53,1737.46,-4269.47,-2.37%,-10.05%,101.1422
2026-03-06,180000.0,173890.04,1737.46,-6109.96,-3.39%,-14.0%,100.0829
2026-03-09,180000.0,170774.07,1737.46,-9225.93,-5.13%,-19.94%,98.2895
2026-03-10,180000.0,172829.49,1737.46,-7170.51,-3.98%,-15.59%,99.4725
2026-03-11,180000.0,170468.98,1737.46,-9531.02,-5.3%,-20.13%,98.1139
2026-03-12,180000.0,169072.23,1737.46,-10927.77,-6.07%,-22.59%,97.31
2026-03-13,180000.0,165379.09,1737.46,-14620.91,-8.12%,-29.07%,95.1844
2026-03-16,180000.0,166699.04,1737.46,-13300.96,-7.39%,-25.98%,95.9441
2026-03-17,180000.0,167864.0,1737.46,-12136.0,-6.74%,-23.69%,96.6146
2026-03-18,180000.0,169487.14,1737.46,-10512.86,-5.84%,-20.58%,97.5488
2026-03-19,180000.0,164269.55,1737.46,-15730.45,-8.74%,-29.36%,94.5458
2026-03-20,180000.0,164759.16,1737.46,-15240.84,-8.47%,-28.3%,94.8276
2026-03-25,180000.0,166138.88,1737.46,-13861.12,-7.7%,-24.89%,95.6217
2026-03-27,180000.0,162589.77,1737.46,-17410.23,-9.67%,-30.03%,93.579
2026-03-30,180000.0,158899.4,1737.46,-21100.6,-11.72%,-34.7%,91.455
2026-03-31,180000.0,158897.49,1737.46,-21102.51,-11.72%,-34.44%,91.4539
2026-04-01,180000.0,161446.69,1737.46,-18553.31,-10.31%,-30.54%,92.9211
2026-04-02,180000.0,161993.99,1737.46,-18006.01,-10.0%,-29.51%,93.2361
2026-04-06,180000.0,163934.56,1737.46,-16065.44,-8.93%,-25.84%,94.353
2026-04-07,180000.0,164638.93,1737.46,-15361.07,-8.53%,-24.62%,94.7584
2026-04-08,180000.0,170594.42,1737.46,-9405.58,-5.23%,-15.47%,98.1861
