date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,409000.0,547503.82,5786.86,138503.82,33.86%,16.43%,94.6116
2025-12-31,409000.0,550740.41,5786.86,141740.41,34.66%,16.74%,95.1709
2026-01-01,439000.0,579250.72,6101.65,140250.72,31.95%,16.57%,94.9335
2026-01-02,439000.0,581477.82,6101.65,142477.82,32.46%,16.77%,95.2985
2026-01-05,440000.0,582626.64,6112.14,142626.64,32.42%,16.71%,95.3229
2026-01-06,440000.0,582635.81,6112.14,142635.81,32.42%,16.69%,95.3244
2026-01-07,440000.0,581840.01,6112.14,141840.01,32.24%,16.58%,95.1942
2026-01-08,440000.0,578894.57,6112.14,138894.57,31.57%,16.26%,94.7123
2026-01-09,440000.0,575420.43,6112.14,135420.43,30.78%,15.88%,94.1439
2026-01-12,440000.0,576551.79,6112.14,136551.79,31.03%,15.92%,94.329
2026-01-13,440000.0,575630.69,6112.14,135630.69,30.83%,15.81%,94.1783
2026-01-14,440000.0,573640.58,6112.14,133640.58,30.37%,15.58%,93.8527
2026-01-16,440000.0,573605.13,6112.14,133605.13,30.36%,15.53%,93.8469
2026-01-19,440000.0,573626.52,6112.14,133626.52,30.37%,15.46%,93.8504
2026-01-20,440000.0,566961.84,6112.14,126961.84,28.85%,14.76%,92.76
2026-01-21,440000.0,566375.08,6112.14,126375.08,28.72%,14.68%,92.664
2026-01-22,440000.0,570498.94,6112.14,130498.94,29.66%,15.08%,93.3387
2026-01-23,440000.0,568067.53,6112.14,128067.53,29.11%,14.81%,92.9409
2026-01-27,440000.0,569439.09,6112.14,129439.09,29.42%,14.86%,93.1653
2026-01-28,440000.0,573072.76,6112.14,133072.76,30.24%,15.2%,93.7598
2026-01-29,440000.0,574295.19,6112.14,134295.19,30.52%,15.3%,93.9598
2026-01-30,480000.0,611778.02,6541.6,131778.02,27.45%,15.04%,93.5212
2026-02-02,480000.0,609266.7,6541.6,129266.7,26.93%,14.72%,93.1373
2026-02-03,480000.0,616179.86,6541.6,136179.86,28.37%,15.38%,94.1941
2026-02-04,480000.0,615477.29,6541.6,135477.29,28.22%,15.29%,94.0867
2026-02-05,480000.0,612052.11,6541.6,132052.11,27.51%,14.92%,93.5631
2026-02-06,480000.0,613543.59,6541.6,133543.59,27.82%,15.05%,93.7911
2026-02-09,480000.0,615895.3,6541.6,135895.3,28.31%,15.21%,94.1506
2026-02-10,480000.0,615839.7,6541.6,135839.7,28.3%,15.18%,94.1421
2026-02-11,480000.0,613612.94,6541.6,133612.94,27.84%,14.94%,93.8017
2026-02-12,480000.0,608700.2,6541.6,128700.2,26.81%,14.43%,93.0507
2026-02-13,480000.0,602257.38,6541.6,122257.38,25.47%,13.77%,92.0658
2026-02-16,505799.0,633894.22,6819.12,128095.22,25.33%,14.29%,92.9584
2026-02-17,505799.0,635073.93,6819.12,129274.93,25.56%,14.38%,93.1314
2026-02-18,505799.0,636960.78,6819.12,131161.78,25.93%,14.54%,93.4081
2026-02-19,505799.0,630831.07,6819.12,125032.07,24.72%,13.92%,92.5092
2026-02-20,505799.0,633699.88,6819.12,127900.88,25.29%,14.18%,92.9299
2026-02-23,505799.0,635830.85,6819.12,130031.85,25.71%,14.32%,93.2424
2026-02-24,505799.0,631514.35,6819.12,125715.35,24.85%,13.87%,92.6094
2026-02-25,505799.0,634742.52,6819.12,128943.52,25.49%,14.17%,93.0828
2026-02-26,505799.0,632621.77,6819.12,126822.77,25.07%,13.94%,92.7718
2026-02-27,505799.0,627047.83,6819.12,121248.83,23.97%,13.37%,91.9544
2026-03-02,505799.0,623417.33,6819.12,117618.33,23.25%,12.96%,91.422
2026-03-04,505799.0,620811.06,6819.12,115012.06,22.74%,12.66%,91.0398
2026-03-05,545799.0,664559.03,7255.83,118760.03,21.76%,13.01%,91.5897
2026-03-06,545799.0,658438.02,7255.83,112639.02,20.64%,12.39%,90.7461
2026-03-09,545799.0,651365.04,7255.83,105566.04,19.34%,11.63%,89.7713
2026-03-10,545799.0,656135.74,7255.83,110336.74,20.22%,12.08%,90.4288
2026-03-11,545799.0,651043.61,7255.83,105244.61,19.28%,11.56%,89.727
2026-03-12,545799.0,647748.73,7255.83,101949.73,18.68%,11.21%,89.2729
2026-03-13,545799.0,639696.94,7255.83,93897.94,17.2%,10.39%,88.1632
2026-03-16,545799.0,643623.8,7255.83,97824.8,17.92%,10.73%,88.7044
2026-03-17,545799.0,646396.25,7255.83,100597.25,18.43%,10.98%,89.0865
2026-03-18,545799.0,648493.91,7255.83,102694.91,18.82%,11.17%,89.3756
2026-03-19,545799.0,636388.29,7255.83,90589.29,16.6%,9.95%,87.7072
2026-03-20,545799.0,636994.87,7255.83,91195.87,16.71%,10.0%,87.7908
2026-03-24,545799.0,631261.32,7255.83,85462.32,15.66%,9.36%,87.0006
2026-03-25,545799.0,637359.12,7255.83,91560.12,16.78%,9.95%,87.841
2026-03-27,545799.0,627231.43,7255.83,81432.43,14.92%,8.91%,86.4452
2026-03-30,545799.0,618631.1,7255.83,72832.1,13.34%,7.99%,85.2599
2026-03-31,545799.0,621664.04,7255.83,75865.04,13.9%,8.29%,85.6779
2026-04-01,545799.0,626496.42,7255.83,80697.42,14.79%,8.76%,86.3439
2026-04-02,545799.0,627741.52,7255.83,81942.52,15.01%,8.87%,86.5155
2026-04-06,545799.0,634815.95,7255.83,89016.95,16.31%,9.51%,87.4905
2026-04-07,545799.0,638907.51,7255.83,93108.51,17.06%,9.89%,88.0544
