date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,140000.0,152023.64,3218.01,12023.64,8.59%,17.04%,47.2415
2025-12-31,140000.0,152342.54,3218.01,12342.54,8.82%,17.41%,47.3406
2026-01-01,160000.0,172177.1,3637.85,12177.1,7.61%,17.09%,47.3293
2026-01-02,160000.0,173286.65,3637.85,13286.65,8.3%,18.58%,47.6343
2026-01-05,160000.0,172897.4,3637.85,12897.4,8.06%,17.69%,47.5273
2026-01-06,160000.0,173125.85,3637.85,13125.85,8.2%,17.9%,47.5901
2026-01-07,160000.0,173841.05,3637.85,13841.05,8.65%,18.79%,47.7867
2026-01-08,160000.0,172148.72,3637.85,12148.72,7.59%,16.33%,47.3215
2026-01-09,160000.0,170213.39,3637.85,10213.39,6.38%,13.59%,46.7895
2026-01-12,160000.0,170161.36,3637.85,10161.36,6.35%,13.28%,46.7752
2026-01-13,160000.0,171591.77,3637.85,11591.77,7.24%,15.11%,47.1684
2026-01-14,160000.0,171437.16,3637.85,11437.16,7.15%,14.81%,47.1259
2026-01-16,160000.0,170644.11,3637.85,10644.11,6.65%,13.61%,46.9079
2026-01-19,160000.0,169975.47,3637.85,9975.47,6.23%,12.52%,46.7241
2026-01-20,160000.0,168015.39,3637.85,8015.39,5.01%,9.96%,46.1853
2026-01-21,160000.0,169112.94,3637.85,9112.94,5.7%,11.29%,46.487
2026-01-22,160000.0,169564.03,3637.85,9564.03,5.98%,11.79%,46.611
2026-01-23,160000.0,166680.67,3637.85,6680.67,4.18%,8.15%,45.8184
2026-01-27,160000.0,167846.96,3637.85,7846.96,4.9%,9.39%,46.139
2026-01-28,160000.0,169304.65,3637.85,9304.65,5.82%,11.1%,46.5397
2026-01-29,160000.0,168581.08,3637.85,8581.08,5.36%,10.17%,46.3408
2026-01-31,160000.0,168912.13,3637.85,8912.13,5.57%,10.46%,46.4318
2026-02-02,180101.0,187088.65,4066.99,6987.65,3.88%,8.09%,46.0017
2026-02-03,180101.0,190489.07,4066.99,10388.07,5.77%,12.03%,46.8378
2026-02-04,180101.0,191999.96,4066.99,11898.96,6.61%,13.74%,47.2093
2026-02-05,180101.0,190124.67,4066.99,10023.67,5.57%,11.47%,46.7482
2026-02-06,180101.0,190418.3,4066.99,10317.3,5.73%,11.74%,46.8204
2026-02-09,180101.0,193554.36,4066.99,13453.36,7.47%,15.13%,47.5915
2026-02-10,180101.0,193799.19,4066.99,13698.19,7.61%,15.32%,47.6517
2026-02-11,180101.0,193291.23,4066.99,13190.23,7.32%,14.66%,47.5268
2026-02-12,180101.0,193054.93,4066.99,12953.93,7.19%,14.31%,47.4687
2026-02-13,180101.0,189767.18,4066.99,9666.18,5.37%,10.57%,46.6603
2026-02-16,180101.0,189506.08,4066.99,9405.08,5.22%,10.11%,46.5961
2026-02-17,180101.0,190343.06,4066.99,10242.06,5.69%,10.97%,46.8019
2026-02-18,180101.0,190874.21,4066.99,10773.21,5.98%,11.48%,46.9325
2026-02-19,180101.0,188951.34,4066.99,8850.34,4.91%,9.36%,46.4597
2026-02-20,180101.0,190137.68,4066.99,10036.68,5.57%,10.57%,46.7514
2026-02-23,180101.0,190135.24,4066.99,10034.24,5.57%,10.41%,46.7508
2026-02-24,180101.0,189340.55,4066.99,9239.55,5.13%,9.52%,46.5554
2026-02-25,180101.0,189475.98,4066.99,9374.98,5.21%,9.61%,46.5887
2026-02-26,180101.0,189399.93,4066.99,9298.93,5.16%,9.49%,46.57
2026-02-27,180101.0,188498.27,4066.99,8397.27,4.66%,8.51%,46.3483
2026-02-28,180101.0,188497.87,4066.99,8396.87,4.66%,8.47%,46.3482
2026-03-02,180101.0,186291.52,4066.99,6190.52,3.44%,6.16%,45.8057
2026-03-04,180101.0,183485.3,4066.99,3384.3,1.88%,3.32%,45.1157
2026-03-05,200101.0,204225.28,4508.49,4124.28,2.06%,4.04%,45.2979
2026-03-06,200101.0,203276.69,4508.49,3175.69,1.59%,3.09%,45.0875
2026-03-09,200101.0,201145.98,4508.49,1044.98,0.52%,1.0%,44.6149
2026-03-10,200101.0,203792.92,4508.49,3691.92,1.85%,3.52%,45.202
2026-03-11,200101.0,202108.99,4508.49,2007.99,1.0%,1.9%,44.8285
2026-03-12,200101.0,202401.14,4508.49,2300.14,1.15%,2.16%,44.8933
2026-03-13,200101.0,199367.83,4508.49,-733.17,-0.37%,-0.68%,44.2205
2026-03-16,200101.0,200111.73,4508.49,10.73,0.01%,0.01%,44.3855
2026-03-17,200101.0,201530.55,4508.49,1429.55,0.71%,1.31%,44.7002
2026-03-18,200101.0,203919.61,4508.49,3818.61,1.91%,3.49%,45.2301
2026-03-19,200101.0,200663.12,4508.49,562.12,0.28%,0.51%,44.5078
2026-03-20,200101.0,201125.69,4508.49,1024.69,0.51%,0.92%,44.6104
2026-03-24,200101.0,198679.83,4508.49,-1421.17,-0.71%,-1.25%,44.0679
2026-03-25,200101.0,201533.26,4508.49,1432.26,0.72%,1.26%,44.7008
2026-03-27,200101.0,197634.77,4508.49,-2466.23,-1.23%,-2.14%,43.8361
2026-03-30,200101.0,193538.8,4508.49,-6562.2,-3.28%,-5.6%,42.9276
2026-03-31,200101.0,194285.41,4508.49,-5815.59,-2.91%,-4.94%,43.0932
2026-04-01,200101.0,198975.14,4508.49,-1125.86,-0.56%,-0.96%,44.1334
2026-04-02,250101.0,248475.8,5644.2,-1625.2,-0.65%,-1.37%,44.0232
2026-04-06,250101.0,251287.75,5644.2,1186.75,0.47%,0.98%,44.5214
2026-04-07,250101.0,251765.81,5644.2,1664.81,0.67%,1.37%,44.6061
2026-04-08,250101.0,258806.95,5644.2,8705.95,3.48%,7.18%,45.8536
