date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,260000.0,378777.63,1973.31,118777.63,45.68%,14.09%,191.9501
2025-12-31,260000.0,382373.6,1973.31,122373.6,47.07%,14.45%,193.7724
2026-01-01,260000.0,382115.68,1973.31,122115.68,46.97%,14.41%,193.6417
2026-01-02,260000.0,383955.4,1973.31,123955.4,47.68%,14.58%,194.574
2026-01-05,260000.0,383569.82,1973.31,123569.82,47.53%,14.5%,194.3786
2026-01-06,260000.0,382236.06,1973.31,122236.06,47.01%,14.35%,193.7027
2026-01-07,260000.0,381475.54,1973.31,121475.54,46.72%,14.25%,193.3173
2026-01-08,260000.0,375245.2,1973.31,115245.2,44.33%,13.59%,190.16
2026-01-09,260000.0,369201.14,1973.31,109201.14,42.0%,12.95%,187.0971
2026-01-12,260000.0,367398.72,1973.31,107398.72,41.31%,12.72%,186.1837
2026-01-13,260000.0,370310.73,1973.31,110310.73,42.43%,13.01%,187.6594
2026-01-14,260000.0,369675.52,1973.31,109675.52,42.18%,12.93%,187.3375
2026-01-16,260000.0,368954.08,1973.31,108954.08,41.91%,12.83%,186.9719
2026-01-19,260000.0,365860.52,1973.31,105860.52,40.72%,12.47%,185.4042
2026-01-20,260000.0,358817.37,1973.31,98817.37,38.01%,11.72%,181.835
2026-01-21,260000.0,358220.44,1973.31,98220.44,37.78%,11.64%,181.5325
2026-01-22,260000.0,360631.63,1973.31,100631.63,38.7%,11.88%,182.7544
2026-01-23,260000.0,354808.58,1973.31,94808.58,36.46%,11.26%,179.8035
2026-01-27,260000.0,354311.31,1973.31,94311.31,36.27%,11.16%,179.5515
2026-01-28,260000.0,357341.92,1973.31,97341.92,37.44%,11.47%,181.0873
2026-01-29,260000.0,355079.52,1973.31,95079.52,36.57%,11.22%,179.9408
2026-01-30,260000.0,361712.42,1973.31,101712.42,39.12%,11.9%,183.3021
2026-01-31,260000.0,361710.25,1973.31,101710.25,39.12%,11.89%,183.301
2026-02-02,260000.0,356266.66,1973.31,96266.66,37.03%,11.3%,180.5424
2026-02-03,260000.0,368419.31,1973.31,108419.31,41.7%,12.55%,186.7009
2026-02-04,260000.0,368570.27,1973.31,108570.27,41.76%,12.56%,186.7774
2026-02-05,260000.0,366434.16,1973.31,106434.16,40.94%,12.32%,185.6949
2026-02-06,260000.0,364326.86,1973.31,104326.86,40.13%,12.09%,184.627
2026-02-09,260000.0,371908.33,1973.31,111908.33,43.04%,12.83%,188.469
2026-02-10,260000.0,372993.65,1973.31,112993.65,43.46%,12.93%,189.019
2026-02-11,260000.0,374429.04,1973.31,114429.04,44.01%,13.06%,189.7464
2026-02-12,260000.0,374145.87,1973.31,114145.87,43.9%,13.02%,189.6029
2026-02-13,260000.0,369475.23,1973.31,109475.23,42.11%,12.54%,187.236
2026-02-16,260000.0,366734.5,1973.31,106734.5,41.05%,12.22%,185.8471
2026-02-17,260000.0,370279.75,1973.31,110279.75,42.42%,12.57%,187.6437
2026-02-18,260000.0,371402.77,1973.31,111402.77,42.85%,12.67%,188.2128
2026-02-19,260000.0,368351.63,1973.31,108351.63,41.67%,12.35%,186.6666
2026-02-20,260000.0,367475.87,1973.31,107475.87,41.34%,12.25%,186.2228
2026-02-23,260000.0,370138.46,1973.31,110138.46,42.36%,12.48%,187.5721
2026-02-24,260000.0,367446.67,1973.31,107446.67,41.33%,12.2%,186.208
2026-02-25,260000.0,367132.52,1973.31,107132.52,41.2%,12.16%,186.0488
2026-02-26,260000.0,367223.68,1973.31,107223.68,41.24%,12.16%,186.095
2026-02-27,260000.0,364585.56,1973.31,104585.56,40.23%,11.88%,184.7581
2026-02-28,260000.0,364585.17,1973.31,104585.17,40.23%,11.87%,184.7579
2026-03-02,260000.0,357796.18,1973.31,97796.18,37.61%,11.16%,181.3175
2026-03-04,260000.0,351242.02,1973.31,91242.02,35.09%,10.46%,177.9961
2026-03-05,260000.0,353862.18,1973.31,93862.18,36.1%,10.72%,179.3239
2026-03-06,260000.0,353180.4,1973.31,93180.4,35.84%,10.64%,178.9784
2026-03-09,260000.0,346857.51,1973.31,86857.51,33.41%,9.96%,175.7742
2026-03-10,260000.0,352911.05,1973.31,92911.05,35.74%,10.57%,178.8419
2026-03-11,260000.0,352017.53,1973.31,92017.53,35.39%,10.47%,178.3891
2026-03-12,260000.0,351227.61,1973.31,91227.61,35.09%,10.38%,177.9888
2026-03-13,260000.0,343307.92,1973.31,83307.92,32.04%,9.56%,173.9754
2026-03-16,260000.0,343000.87,1973.31,83000.87,31.92%,9.5%,173.8198
2026-03-17,260000.0,343480.39,1973.31,83480.39,32.11%,9.54%,174.0628
2026-03-18,260000.0,350244.9,1973.31,90244.9,34.71%,10.22%,177.4908
2026-03-19,260000.0,343159.92,1973.31,83159.92,31.98%,9.49%,173.9004
2026-03-20,260000.0,344580.9,1973.31,84580.9,32.53%,9.62%,174.6205
2026-03-25,260000.0,346160.74,1973.31,86160.74,33.14%,9.74%,175.4211
2026-03-27,260000.0,340344.99,1973.31,80344.99,30.9%,9.13%,172.4739
2026-03-30,260000.0,334221.6,1973.31,74221.6,28.55%,8.47%,169.3708
2026-03-31,260000.0,334221.21,1973.31,74221.21,28.55%,8.46%,169.3706
2026-04-01,260000.0,342926.28,1973.31,82926.28,31.89%,9.35%,173.782
2026-04-02,260000.0,343054.74,1973.31,83054.74,31.94%,9.35%,173.8471
2026-04-06,260000.0,345162.24,1973.31,85162.24,32.75%,9.53%,174.9151
2026-04-07,260000.0,345002.6,1973.31,85002.6,32.69%,9.51%,174.8342
2026-04-08,260000.0,356337.51,1973.31,96337.51,37.05%,10.63%,180.5783
