date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,172000.0,199385.39,2094.38,27385.39,15.92%,10.31%,95.2002
2025-12-31,172000.0,200862.56,2094.38,28862.56,16.78%,10.81%,95.9055
2026-01-01,172000.0,202657.24,2094.38,30657.24,17.82%,11.42%,96.7624
2026-01-02,172000.0,203517.61,2094.38,31517.61,18.32%,11.7%,97.1732
2026-01-05,172000.0,203746.94,2094.38,31746.94,18.46%,11.72%,97.2827
2026-01-06,172000.0,203917.0,2094.38,31917.0,18.56%,11.76%,97.3639
2026-01-07,172000.0,204314.1,2094.38,32314.1,18.79%,11.87%,97.5535
2026-01-08,172000.0,201387.41,2094.38,29387.41,17.09%,10.84%,96.1561
2026-01-09,172000.0,198456.12,2094.38,26456.12,15.38%,9.79%,94.7565
2026-01-12,172000.0,198552.46,2094.38,26552.46,15.44%,9.77%,94.8025
2026-01-13,172000.0,198034.94,2094.38,26034.94,15.14%,9.58%,94.5554
2026-01-14,172000.0,197128.7,2094.38,25128.7,14.61%,9.24%,94.1227
2026-01-16,172000.0,196581.65,2094.38,24581.65,14.29%,9.02%,93.8615
2026-01-19,172000.0,195605.67,2094.38,23605.67,13.72%,8.63%,93.3955
2026-01-20,172000.0,191809.6,2094.38,19809.6,11.52%,7.28%,91.583
2026-01-21,172000.0,189792.51,2094.38,17792.51,10.34%,6.56%,90.6199
2026-01-22,172000.0,192201.25,2094.38,20201.25,11.74%,7.4%,91.77
2026-01-23,172000.0,186194.57,2094.38,14194.57,8.25%,5.25%,88.902
2026-01-27,172000.0,188527.5,2094.38,16527.5,9.61%,6.04%,90.0159
2026-01-28,172000.0,190837.6,2094.38,18837.6,10.95%,6.84%,91.1189
2026-01-29,172000.0,193541.45,2094.38,21541.45,12.52%,7.77%,92.4099
2026-01-30,172000.0,192457.81,2094.38,20457.81,11.89%,7.38%,91.8925
2026-02-02,172000.0,190126.35,2094.38,18126.35,10.54%,6.54%,90.7793
2026-02-03,172000.0,196982.93,2094.38,24982.93,14.52%,8.87%,94.0531
2026-02-04,172000.0,198165.84,2094.38,26165.84,15.21%,9.25%,94.6179
2026-02-05,172000.0,197342.75,2094.38,25342.75,14.73%,8.96%,94.2249
2026-02-06,172000.0,197214.99,2094.38,25214.99,14.66%,8.9%,94.1639
2026-02-09,172000.0,199592.11,2094.38,27592.11,16.04%,9.65%,95.2989
2026-02-10,172000.0,200302.31,2094.38,28302.31,16.45%,9.87%,95.638
2026-02-11,172000.0,200754.28,2094.38,28754.28,16.72%,10.0%,95.8538
2026-02-12,172000.0,200892.09,2094.38,28892.09,16.8%,10.02%,95.9196
2026-02-13,172000.0,197450.4,2094.38,25450.4,14.8%,8.87%,94.2763
2026-02-16,172000.0,199581.22,2094.38,27581.22,16.04%,9.53%,95.2937
2026-02-17,172000.0,200794.28,2094.38,28794.28,16.74%,9.91%,95.8729
2026-02-18,172000.0,201600.2,2094.38,29600.2,17.21%,10.15%,96.2577
2026-02-19,172000.0,198193.69,2094.38,26193.69,15.23%,9.03%,94.6312
2026-02-20,172000.0,198322.08,2094.38,26322.08,15.3%,9.05%,94.6925
2026-02-23,172000.0,199642.17,2094.38,27642.17,16.07%,9.44%,95.3228
2026-02-24,172000.0,198596.44,2094.38,26596.44,15.46%,9.08%,94.8235
2026-02-25,172000.0,199657.45,2094.38,27657.45,16.08%,9.41%,95.3301
2026-02-26,172000.0,199556.09,2094.38,27556.09,16.02%,9.36%,95.2817
2026-02-27,172000.0,196074.39,2094.38,24074.39,14.0%,8.22%,93.6193
2026-03-02,172000.0,193039.0,2094.38,21039.0,12.23%,7.19%,92.17
2026-03-04,172000.0,188103.81,2094.38,16103.81,9.36%,5.54%,89.8136
2026-03-05,172000.0,190327.41,2094.38,18327.41,10.66%,6.26%,90.8753
2026-03-06,172000.0,187719.49,2094.38,15719.49,9.14%,5.39%,89.6301
2026-03-09,172000.0,183939.97,2094.38,11939.97,6.94%,4.11%,87.8255
2026-03-10,172000.0,187871.33,2094.38,15871.33,9.23%,5.41%,89.7026
2026-03-11,172000.0,185071.15,2094.38,13071.15,7.6%,4.47%,88.3656
2026-03-12,172000.0,184494.98,2094.38,12494.98,7.26%,4.27%,88.0905
2026-03-13,172000.0,181187.75,2094.38,9187.75,5.34%,3.16%,86.5114
2026-03-16,172000.0,182084.35,2094.38,10084.35,5.86%,3.44%,86.9395
2026-03-17,172000.0,183348.52,2094.38,11348.52,6.6%,3.86%,87.5431
2026-03-18,172000.0,185204.14,2094.38,13204.14,7.68%,4.46%,88.4291
2026-03-19,172000.0,178973.15,2094.38,6973.15,4.05%,2.38%,85.454
2026-03-20,172000.0,178481.39,2094.38,6481.39,3.77%,2.21%,85.2192
2026-03-25,172000.0,178909.06,2094.38,6909.06,4.02%,2.34%,85.4234
2026-03-27,172000.0,174099.53,2094.38,2099.53,1.22%,0.72%,83.127
