date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,255000.0,260370.44,1110.91,5370.44,2.11%,1.5%,234.3754
2025-12-31,255000.0,261626.77,1110.91,6626.77,2.6%,1.85%,235.5063
2026-01-01,255000.0,261352.05,1110.91,6352.05,2.49%,1.77%,235.259
2026-01-02,255000.0,262634.26,1110.91,7634.26,2.99%,2.12%,236.4132
2026-01-05,255000.0,260516.53,1110.91,5516.53,2.16%,1.53%,234.5069
2026-01-06,255000.0,258887.93,1110.91,3887.93,1.52%,1.08%,233.0409
2026-01-07,255000.0,259190.43,1110.91,4190.43,1.64%,1.16%,233.3132
2026-01-08,255000.0,254650.25,1110.91,-349.75,-0.14%,-0.1%,229.2263
2026-01-09,255000.0,252206.46,1110.91,-2793.54,-1.1%,-0.77%,227.0265
2026-01-12,255000.0,251353.5,1110.91,-3646.5,-1.43%,-1.0%,226.2587
2026-01-13,255000.0,250490.1,1110.91,-4509.9,-1.77%,-1.24%,225.4815
2026-01-14,255000.0,250394.34,1110.91,-4605.66,-1.81%,-1.26%,225.3953
2026-01-16,255000.0,249902.76,1110.91,-5097.24,-2.0%,-1.39%,224.9528
2026-01-19,255000.0,249587.15,1110.91,-5412.85,-2.12%,-1.47%,224.6687
2026-01-20,255000.0,244734.25,1110.91,-10265.75,-4.03%,-2.8%,220.3003
2026-01-21,255000.0,240471.46,1110.91,-14528.54,-5.7%,-3.97%,216.4631
2026-01-22,255000.0,242442.99,1110.91,-12557.01,-4.92%,-3.42%,218.2378
2026-01-23,255000.0,238749.43,1110.91,-16250.57,-6.37%,-4.43%,214.913
2026-01-27,255000.0,238326.62,1110.91,-16673.38,-6.54%,-4.52%,214.5324
2026-01-28,255000.0,240565.88,1110.91,-14434.12,-5.66%,-3.89%,216.5481
2026-01-29,255000.0,239757.69,1110.91,-15242.31,-5.98%,-4.11%,215.8206
2026-01-30,255000.0,241470.83,1110.91,-13529.17,-5.31%,-3.63%,217.3627
2026-02-02,255000.0,239255.67,1110.91,-15744.33,-6.17%,-4.21%,215.3687
2026-02-03,255000.0,244571.28,1110.91,-10428.72,-4.09%,-2.77%,220.1536
2026-02-04,255000.0,245349.69,1110.91,-9650.31,-3.78%,-2.56%,220.8543
2026-02-05,255000.0,245319.92,1110.91,-9680.08,-3.8%,-2.56%,220.8275
2026-02-06,255000.0,246333.4,1110.91,-8666.6,-3.4%,-2.29%,221.7398
2026-02-09,255000.0,249421.74,1110.91,-5578.26,-2.19%,-1.46%,224.5198
2026-02-10,255000.0,250176.94,1110.91,-4823.06,-1.89%,-1.26%,225.1996
2026-02-11,255000.0,250724.95,1110.91,-4275.05,-1.68%,-1.11%,225.6929
2026-02-12,255000.0,250426.78,1110.91,-4573.22,-1.79%,-1.19%,225.4245
2026-02-13,255000.0,247261.02,1110.91,-7738.98,-3.03%,-2.02%,222.5748
2026-02-16,255000.0,247172.81,1110.91,-7827.19,-3.07%,-2.03%,222.4954
2026-02-17,255000.0,247708.16,1110.91,-7291.84,-2.86%,-1.88%,222.9773
2026-02-18,255000.0,248023.1,1110.91,-6976.9,-2.74%,-1.8%,223.2608
2026-02-19,255000.0,244859.67,1110.91,-10140.33,-3.98%,-2.62%,220.4132
2026-02-20,255000.0,245890.15,1110.91,-9109.85,-3.57%,-2.35%,221.3408
2026-02-23,255000.0,246294.86,1110.91,-8705.14,-3.41%,-2.23%,221.7051
2026-02-24,255000.0,245023.31,1110.91,-9976.69,-3.91%,-2.55%,220.5605
2026-02-25,255000.0,247342.56,1110.91,-7657.44,-3.0%,-1.95%,222.6482
2026-02-26,255000.0,248653.21,1110.91,-6346.79,-2.49%,-1.61%,223.828
2026-02-27,255000.0,245745.73,1110.91,-9254.27,-3.63%,-2.35%,221.2108
2026-03-02,255000.0,241562.15,1110.91,-13437.85,-5.27%,-3.41%,217.4449
2026-03-04,255000.0,237583.2,1110.91,-17416.8,-6.83%,-4.43%,213.8632
