date,total_invested,current_value,total_units,absolute_gain_loss,total_return_pct,xirr_annual,nav
2025-12-30,325000.0,425040.36,1557.13,100040.36,30.78%,15.19%,272.9636
2025-12-31,325000.0,430961.82,1557.13,105961.82,32.6%,15.98%,276.7664
2026-01-01,325000.0,431136.22,1557.13,106136.22,32.66%,15.98%,276.8784
2026-01-02,325000.0,433765.43,1557.13,108765.43,33.47%,16.31%,278.5669
2026-01-05,325000.0,432674.2,1557.13,107674.2,33.13%,16.09%,277.8661
2026-01-06,325000.0,430989.69,1557.13,105989.69,32.61%,15.84%,276.7843
2026-01-07,325000.0,430821.99,1557.13,105821.99,32.56%,15.79%,276.6766
2026-01-08,325000.0,423016.4,1557.13,98016.4,30.16%,14.71%,271.6638
2026-01-09,325000.0,417639.31,1557.13,92639.31,28.5%,13.95%,268.2106
2026-01-12,325000.0,415775.27,1557.13,90775.27,27.93%,13.63%,267.0135
2026-01-13,325000.0,414343.02,1557.13,89343.02,27.49%,13.41%,266.0937
2026-01-14,325000.0,414711.9,1557.13,89711.9,27.6%,13.44%,266.3306
2026-01-16,325000.0,412897.53,1557.13,87897.53,27.05%,13.16%,265.1654
2026-01-19,325000.0,407147.82,1557.13,82147.82,25.28%,12.31%,261.4729
2026-01-20,325000.0,398689.32,1557.13,73689.32,22.67%,11.11%,256.0408
2026-01-21,325000.0,395993.15,1557.13,70993.15,21.84%,10.72%,254.3093
2026-01-22,325000.0,399577.36,1557.13,74577.36,22.95%,11.2%,256.6111
2026-01-23,325000.0,389918.62,1557.13,64918.62,19.97%,9.83%,250.4082
2026-01-27,325000.0,389860.38,1557.13,64860.38,19.96%,9.76%,250.3708
2026-01-28,325000.0,395340.87,1557.13,70340.87,21.64%,10.52%,253.8904
2026-01-29,325000.0,394935.86,1557.13,69935.86,21.52%,10.45%,253.6303
2026-01-30,325000.0,399054.78,1557.13,74054.78,22.79%,11.0%,256.2755
2026-02-02,325000.0,394086.13,1557.13,69086.13,21.26%,10.27%,253.0846
2026-02-03,325000.0,408119.31,1557.13,83119.31,25.58%,12.17%,262.0968
2026-02-04,325000.0,412166.61,1557.13,87166.61,26.82%,12.7%,264.696
2026-02-05,325000.0,409813.94,1557.13,84813.94,26.1%,12.37%,263.1851
2026-02-06,325000.0,407950.21,1557.13,82950.21,25.52%,12.1%,261.9882
2026-02-09,325000.0,416806.71,1557.13,91806.71,28.25%,13.23%,267.6759
2026-02-10,325000.0,418235.69,1557.13,93235.69,28.69%,13.4%,268.5936
2026-02-11,325000.0,418702.52,1557.13,93702.52,28.83%,13.44%,268.8934
2026-02-12,325000.0,416746.14,1557.13,91746.14,28.23%,13.16%,267.637
2026-02-13,325000.0,409563.55,1557.13,84563.55,26.02%,12.2%,263.0243
2026-02-16,325000.0,409644.37,1557.13,84644.37,26.04%,12.16%,263.0762
2026-02-17,325000.0,412488.16,1557.13,87488.16,26.92%,12.51%,264.9025
2026-02-18,325000.0,412835.4,1557.13,87835.4,27.03%,12.54%,265.1255
2026-02-19,325000.0,407166.35,1557.13,82166.35,25.28%,11.78%,261.4848
2026-02-20,325000.0,406513.91,1557.13,81513.91,25.08%,11.67%,261.0658
2026-02-23,325000.0,407335.14,1557.13,82335.14,25.33%,11.73%,261.5932
2026-02-24,325000.0,405084.46,1557.13,80084.46,24.64%,11.42%,260.1478
2026-02-25,325000.0,406725.37,1557.13,81725.37,25.15%,11.62%,261.2016
2026-02-26,325000.0,406089.28,1557.13,81089.28,24.95%,11.52%,260.7931
2026-02-27,325000.0,402416.63,1557.13,77416.63,23.82%,11.02%,258.4345
2026-03-02,325000.0,396453.59,1557.13,71453.59,21.99%,10.19%,254.605
2026-03-04,325000.0,389596.61,1557.13,64596.61,19.88%,9.25%,250.2014
2026-03-05,325000.0,394222.69,1557.13,69222.69,21.3%,9.85%,253.1723
2026-03-06,325000.0,392159.18,1557.13,67159.18,20.66%,9.56%,251.8471
2026-03-09,325000.0,385261.86,1557.13,60261.86,18.54%,8.6%,247.4176
2026-03-10,325000.0,391301.35,1557.13,66301.35,20.4%,9.4%,251.2962
2026-03-11,325000.0,390086.01,1557.13,65086.01,20.03%,9.22%,250.5157
2026-03-12,325000.0,392025.42,1557.13,67025.42,20.62%,9.47%,251.7612
2026-03-13,325000.0,384248.95,1557.13,59248.95,18.23%,8.42%,246.7671
2026-03-16,325000.0,384696.78,1557.13,59696.78,18.37%,8.45%,247.0547
2026-03-17,325000.0,387183.83,1557.13,62183.83,19.13%,8.77%,248.6519
2026-03-18,325000.0,393652.94,1557.13,68652.94,21.12%,9.6%,252.8064
2026-03-19,325000.0,384669.53,1557.13,59669.53,18.36%,8.41%,247.0372
2026-03-20,325000.0,387160.63,1557.13,62160.63,19.13%,8.73%,248.637
2026-03-25,325000.0,389865.83,1557.13,64865.83,19.96%,9.02%,250.3743
2026-03-27,325000.0,381764.23,1557.13,56764.23,17.47%,7.94%,245.1714
2026-03-30,325000.0,373605.8,1557.13,48605.8,14.96%,6.82%,239.932
2026-03-31,325000.0,373601.44,1557.13,48601.44,14.95%,6.81%,239.9292
2026-04-01,325000.0,386011.62,1557.13,61011.62,18.77%,8.44%,247.8991
2026-04-02,325000.0,386161.26,1557.13,61161.26,18.82%,8.45%,247.9952
2026-04-06,325000.0,390831.88,1557.13,65831.88,20.26%,9.0%,250.9947
2026-04-07,325000.0,390529.33,1557.13,65529.33,20.16%,8.95%,250.8004
2026-04-08,325000.0,404741.12,1557.13,79741.12,24.54%,10.73%,259.9273
